configuration,strides,dilations,input_batch,input_width,input_height,input_channel,kernel_width,kernel_height,kernel_input_channels,kernel_output_channels,output_batch,output_width,output_height,output_channel,tiled_output_batch,tiled_output_width,tiled_output_height,tiled_output_channel,tiled_kernel_width,tiled_kernel_height,tiled_input_channel,actual_input_batch,actual_input_width,actual_input_height,actual_input_channel,actual_kernel_width,actual_kernel_height,actual_kernel_input_channels,actual_kernel_output_channels,actual_output_batch,actual_output_width,actual_output_height,actual_output_channel,number_of_tiles,simulation_cycles,total_power,area,runtime_in_s,gflops,gflops_per_watt,energy_consumed,flop_count
alexnet_tile_conv2d_4_1881338,1,1,1,15,15,384,3,3,384,384,1,13,13,384,1,8,8,1,3,3,8,1,15,15,128,3,3,128,1,1,13,13,1,1152.0,1049878656.0,0.0143,128493.0,10.498787,0.042725,2.987762,0.1501326541,448561152
alexnet_tile_conv2d_4_18813316,1,1,1,15,15,384,3,3,384,384,1,13,13,384,1,8,8,1,3,3,16,1,15,15,128,3,3,128,1,1,13,13,1,1152.0,1043132544.0,0.0217,169660.0,10.431325,0.043001,1.981613,0.2263597525,448561152
alexnet_tile_conv2d_4_18813332,1,1,1,15,15,384,3,3,384,384,1,13,13,384,1,8,8,1,3,3,32,1,15,15,128,3,3,128,1,1,13,13,1,1152.0,1264822272.0,0.0137,115936.0,12.648223,0.035464,2.588613,0.1732806551,448561152
alexnet_tile_conv2d_4_18813364,1,1,1,15,15,384,3,3,384,384,1,13,13,384,1,8,8,1,3,3,64,1,15,15,128,3,3,128,1,1,13,13,1,1152.0,1263022848.0,0.0131,115242.0,12.630228,0.035515,2.711069,0.1654559868,448561152
alexnet_tile_conv2d_4_188133128,1,1,1,15,15,384,3,3,384,384,1,13,13,384,1,8,8,1,3,3,128,1,15,15,128,3,3,128,1,1,13,13,1,1152.0,1261703808.0,0.0133,111482.0,12.617038,0.035552,2.673083,0.1678066054,448561152
alexnet_tile_conv2d_4_113131334,1,1,1,15,15,384,3,3,384,384,1,13,13,384,1,13,13,1,3,3,4,1,15,15,128,3,3,128,1,1,13,13,1,1152.0,1061815680.0,0.012,108216.0,10.618157,0.042245,3.520417,0.127417884,448561152
alexnet_tile_conv2d_4_113131338,1,1,1,15,15,384,3,3,384,384,1,13,13,384,1,13,13,1,3,3,8,1,15,15,128,3,3,128,1,1,13,13,1,1152.0,1049097600.0,0.0148,128828.0,10.490976,0.042757,2.888986,0.1552664448,448561152
alexnet_tile_conv2d_4_1131313316,1,1,1,15,15,384,3,3,384,384,1,13,13,384,1,13,13,1,3,3,16,1,15,15,128,3,3,128,1,1,13,13,1,1152.0,1042738560.0,0.0192,169052.0,10.427386,0.043018,2.240521,0.2002058112,448561152
alexnet_tile_conv2d_4_1131313332,1,1,1,15,15,384,3,3,384,384,1,13,13,384,1,13,13,1,3,3,32,1,15,15,128,3,3,128,1,1,13,13,1,1152.0,1264621824.0,0.0137,116297.0,12.646218,0.03547,2.589051,0.1732531866,448561152
alexnet_tile_conv2d_4_1131313364,1,1,1,15,15,384,3,3,384,384,1,13,13,384,1,13,13,1,3,3,64,1,15,15,128,3,3,128,1,1,13,13,1,1152.0,1262642688.0,0.0135,115753.0,12.626427,0.035526,2.631556,0.1704567645,448561152
