configuration,input_batch,input_width,input_height,weight_batch,weight_width,weight_height,output_batch,output_width,output_height,tiled_output_batch,tiled_output_width,tiled_output_height,tiled_kernel_width,actual_input_batch,actual_input_width,actual_input_height,actual_weight_batch,actual_weight_width,actual_weight_height,actual_output_batch,actual_output_width,actual_output_height,number_of_tiles,simulation_cycles,total_power,area,runtime_in_s,gflops,gflops_per_watt,energy_consumed,flop_count
resnet18_tile_matmul_1_1132128,1,1,512,1,512,1000,1,1,1000,1,1,32,128,1,1,128,1,128,125,1,1,125,32.0,4825888.0,0.00602,53420.0,0.048259,0.021219,3.524751,0.00029051918,1024000
resnet18_tile_matmul_1_11644,1,1,512,1,512,1000,1,1,1000,1,1,64,4,1,1,128,1,128,125,1,1,125,32.0,4180128.0,0.00714,61071.0,0.041801,0.024497,3.430952,0.00029845914,1024000
resnet18_tile_matmul_1_11648,1,1,512,1,512,1000,1,1,1000,1,1,64,8,1,1,128,1,128,125,1,1,125,32.0,3992320.0,0.00976,81182.0,0.039923,0.025649,2.627971,0.00038964848,1024000
resnet18_tile_matmul_1_116416,1,1,512,1,512,1000,1,1,1000,1,1,64,16,1,1,128,1,128,125,1,1,125,32.0,3890592.0,0.0148,117503.0,0.038906,0.02632,1.778378,0.0005758088,1024000
resnet18_tile_matmul_1_116432,1,1,512,1,512,1000,1,1,1000,1,1,64,32,1,1,128,1,128,125,1,1,125,32.0,4873888.0,0.00879,75173.0,0.048739,0.02101,2.390216,0.00042841581,1024000
resnet18_tile_matmul_1_116464,1,1,512,1,512,1000,1,1,1000,1,1,64,64,1,1,128,1,128,125,1,1,125,32.0,4841888.0,0.00617,53447.0,0.048419,0.021149,3.427715,0.00029874523,1024000
resnet18_tile_matmul_1_1164128,1,1,512,1,512,1000,1,1,1000,1,1,64,128,1,1,128,1,128,125,1,1,125,32.0,4313888.0,0.00466,40701.0,0.043139,0.023737,5.093777,0.00020102774,1024000
resnet18_tile_matmul_1_111254,1,1,512,1,512,1000,1,1,1000,1,1,125,4,1,1,128,1,128,125,1,1,125,32.0,4180224.0,0.00579,49673.0,0.041802,0.024496,4.230743,0.00024203358,1024000
resnet18_tile_matmul_1_111258,1,1,512,1,512,1000,1,1,1000,1,1,125,8,1,1,128,1,128,125,1,1,125,32.0,3987200.0,0.00693,60164.0,0.039872,0.025682,3.705916,0.00027631296,1024000
resnet18_tile_matmul_1_1112516,1,1,512,1,512,1000,1,1,1000,1,1,125,16,1,1,128,1,128,125,1,1,125,32.0,3890688.0,0.00955,80901.0,0.038907,0.026319,2.755916,0.00037156185,1024000
resnet18_tile_matmul_1_1112532,1,1,512,1,512,1000,1,1,1000,1,1,125,32,1,1,128,1,128,125,1,1,125,32.0,4873888.0,0.00602,52877.0,0.048739,0.02101,3.490033,0.00029340878,1024000
resnet18_tile_matmul_1_1112564,1,1,512,1,512,1000,1,1,1000,1,1,125,64,1,1,128,1,128,125,1,1,125,32.0,4329888.0,0.00462,40855.0,0.043299,0.02365,5.119048,0.00020004138,1024000
