configuration,input_batch,input_width,input_height,weight_batch,weight_width,weight_height,output_batch,output_width,output_height,tiled_output_batch,tiled_output_width,tiled_output_height,tiled_kernel_width,actual_input_batch,actual_input_width,actual_input_height,actual_weight_batch,actual_weight_width,actual_weight_height,actual_output_batch,actual_output_width,actual_output_height,number_of_tiles,simulation_cycles,total_power,area,runtime_in_s,gflops,gflops_per_watt,energy_consumed,flop_count
vgg16_tile_matmul_3_11432,1,1,4096,1,4096,1000,1,1,1000,1,1,4,32,1,1,128,1,128,125,1,1,125,256.0,39007488.0,0.00634,55984.0,0.390075,0.021001,3.312461,0.0024730755,8192000
vgg16_tile_matmul_3_11464,1,1,4096,1,4096,1000,1,1,1000,1,1,4,64,1,1,128,1,128,125,1,1,125,256.0,34655488.0,0.00484,43138.0,0.346555,0.023638,4.883884,0.0016773262,8192000
vgg16_tile_matmul_3_114128,1,1,4096,1,4096,1000,1,1,1000,1,1,4,128,1,1,128,1,128,125,1,1,125,256.0,34527488.0,0.00471,37766.0,0.345275,0.023726,5.037367,0.00162624525,8192000
vgg16_tile_matmul_3_1184,1,1,4096,1,4096,1000,1,1,1000,1,1,8,4,1,1,128,1,128,125,1,1,125,256.0,34318336.0,0.00596,51121.0,0.343183,0.023871,4.005201,0.00204537068,8192000
vgg16_tile_matmul_3_1188,1,1,4096,1,4096,1000,1,1,1000,1,1,8,8,1,1,128,1,128,125,1,1,125,256.0,32585728.0,0.00731,62074.0,0.325857,0.02514,3.439124,0.00238201467,8192000
vgg16_tile_matmul_3_11816,1,1,4096,1,4096,1000,1,1,1000,1,1,8,16,1,1,128,1,128,125,1,1,125,256.0,31719424.0,0.0104,84406.0,0.317194,0.025826,2.483269,0.0032988176,8192000
vgg16_tile_matmul_3_11832,1,1,4096,1,4096,1000,1,1,1000,1,1,8,32,1,1,128,1,128,125,1,1,125,256.0,38999296.0,0.00639,56397.0,0.389993,0.021006,3.287324,0.00249205527,8192000
vgg16_tile_matmul_3_11864,1,1,4096,1,4096,1000,1,1,1000,1,1,8,64,1,1,128,1,128,125,1,1,125,256.0,34647296.0,0.00492,43478.0,0.346473,0.023644,4.805691,0.00170464716,8192000
vgg16_tile_matmul_3_118128,1,1,4096,1,4096,1000,1,1,1000,1,1,8,128,1,1,128,1,128,125,1,1,125,256.0,34519296.0,0.0049,37701.0,0.345193,0.023732,4.843265,0.0016914457,8192000
vgg16_tile_matmul_3_11164,1,1,4096,1,4096,1000,1,1,1000,1,1,16,4,1,1,128,1,128,125,1,1,125,256.0,33855488.0,0.0059,50978.0,0.338555,0.024197,4.101186,0.0019974745,8192000
vgg16_tile_matmul_3_11168,1,1,4096,1,4096,1000,1,1,1000,1,1,16,8,1,1,128,1,128,125,1,1,125,256.0,32221184.0,0.00728,62050.0,0.322212,0.025424,3.492308,0.00234570336,8192000
vgg16_tile_matmul_3_111616,1,1,4096,1,4096,1000,1,1,1000,1,1,16,16,1,1,128,1,128,125,1,1,125,256.0,31404032.0,0.00993,84906.0,0.31404,0.026086,2.626989,0.0031184172,8192000
vgg16_tile_matmul_3_111632,1,1,4096,1,4096,1000,1,1,1000,1,1,16,32,1,1,128,1,128,125,1,1,125,256.0,38995200.0,0.0063,55879.0,0.389952,0.021008,3.334603,0.0024566976,8192000
vgg16_tile_matmul_3_111664,1,1,4096,1,4096,1000,1,1,1000,1,1,16,64,1,1,128,1,128,125,1,1,125,256.0,34643200.0,0.00485,42960.0,0.346432,0.023647,4.87567,0.0016801952,8192000
vgg16_tile_matmul_3_1116128,1,1,4096,1,4096,1000,1,1,1000,1,1,16,128,1,1,128,1,128,125,1,1,125,256.0,34515200.0,0.0049,38189.0,0.345152,0.023734,4.843673,0.0016912448,8192000
vgg16_tile_matmul_3_11324,1,1,4096,1,4096,1000,1,1,1000,1,1,32,4,1,1,128,1,128,125,1,1,125,256.0,33624064.0,0.00578,50911.0,0.336241,0.024363,4.215052,0.00194347298,8192000
vgg16_tile_matmul_3_11328,1,1,4096,1,4096,1000,1,1,1000,1,1,32,8,1,1,128,1,128,125,1,1,125,256.0,32038912.0,0.0073,61808.0,0.320389,0.025569,3.502603,0.0023388397,8192000
vgg16_tile_matmul_3_113216,1,1,4096,1,4096,1000,1,1,1000,1,1,32,16,1,1,128,1,128,125,1,1,125,256.0,31246336.0,0.00977,84095.0,0.312463,0.026218,2.683521,0.00305276351,8192000
vgg16_tile_matmul_3_113232,1,1,4096,1,4096,1000,1,1,1000,1,1,32,32,1,1,128,1,128,125,1,1,125,256.0,38993152.0,0.0063,55953.0,0.389932,0.021009,3.334762,0.0024565716,8192000
