configuration,strides,dilations,input_batch,input_width,input_height,input_channel,kernel_width,kernel_height,kernel_input_channels,kernel_output_channels,output_batch,output_width,output_height,output_channel,unroll_full,unroll_factor,actual_input_batch,actual_input_width,actual_input_height,actual_input_channel,actual_kernel_width,actual_kernel_height,actual_kernel_input_channels,actual_kernel_output_channels,actual_output_batch,actual_output_width,actual_output_height,actual_output_channel,number_of_tiles,simulation_cycles,total_power,area,runtime_in_s,gflops,gflops_per_watt,energy_consumed,flop_count
vgg16_unroll_conv2d_1_unroll_0_factor_0,1,1,1,226,226,3,3,3,3,64,1,224,224,64,0,0,1,226,226,1,3,3,1,1,1,224,224,1,192.0,279425280.0,0.00385,34547.0,2.794253,0.062059,16.119221,0.01075787405,173408256
vgg16_unroll_conv2d_1_unroll_1_factor_0,1,1,1,226,226,3,3,3,3,64,1,224,224,64,1,0,1,226,226,1,3,3,1,1,1,224,224,1,192.0,279425280.0,0.00385,34503.0,2.794253,0.062059,16.119221,0.01075787405,173408256
vgg16_unroll_conv2d_1_unroll_2_factor_0,1,1,1,226,226,3,3,3,3,64,1,224,224,64,2,0,1,226,226,1,3,3,1,1,1,224,224,1,192.0,279425280.0,0.00379,35464.0,2.794253,0.062059,16.374406,0.01059021887,173408256
vgg16_unroll_conv2d_1_unroll_3_factor_0,1,1,1,226,226,3,3,3,3,64,1,224,224,64,3,0,1,226,226,1,3,3,1,1,1,224,224,1,192.0,279468288.0,0.0038,35034.0,2.794683,0.062049,16.328684,0.0106197954,173408256
vgg16_unroll_conv2d_2_unroll_0_factor_0,1,1,1,226,226,64,3,3,64,64,1,224,224,64,0,0,1,226,226,1,3,3,1,1,1,224,224,1,4096.0,5961072640.0,0.00385,34503.0,59.610726,0.062059,16.119221,0.2295012951,3699376128
vgg16_unroll_conv2d_2_unroll_1_factor_0,1,1,1,226,226,64,3,3,64,64,1,224,224,64,1,0,1,226,226,1,3,3,1,1,1,224,224,1,4096.0,5961072640.0,0.00387,34578.0,59.610726,0.062059,16.035917,0.23069350962,3699376128
vgg16_unroll_conv2d_2_unroll_2_factor_0,1,1,1,226,226,64,3,3,64,64,1,224,224,64,2,0,1,226,226,1,3,3,1,1,1,224,224,1,4096.0,5961072640.0,0.0038,35457.0,59.610726,0.062059,16.331316,0.2265207588,3699376128
vgg16_unroll_conv2d_2_unroll_3_factor_0,1,1,1,226,226,64,3,3,64,64,1,224,224,64,3,0,1,226,226,1,3,3,1,1,1,224,224,1,4096.0,5961990144.0,0.0038,35022.0,59.619901,0.062049,16.328684,0.2265556238,3699376128
vgg16_unroll_conv2d_3_unroll_0_factor_0,1,1,1,114,114,64,3,3,64,128,1,112,112,128,0,0,1,114,114,1,3,3,1,1,1,112,112,1,8192.0,2981068800.0,0.0037,34045.0,29.810688,0.062048,16.76973,0.1102995456,1849688064
vgg16_unroll_conv2d_3_unroll_1_factor_0,1,1,1,114,114,64,3,3,64,128,1,112,112,128,1,0,1,114,114,1,3,3,1,1,1,112,112,1,8192.0,2981068800.0,0.00368,33821.0,29.810688,0.062048,16.86087,0.10970333184,1849688064
vgg16_unroll_conv2d_3_unroll_2_factor_0,1,1,1,114,114,64,3,3,64,128,1,112,112,128,2,0,1,114,114,1,3,3,1,1,1,112,112,1,8192.0,2981068800.0,0.00389,35287.0,29.810688,0.062048,15.950643,0.11596357632,1849688064
vgg16_unroll_conv2d_3_unroll_3_factor_0,1,1,1,114,114,64,3,3,64,128,1,112,112,128,3,0,1,114,114,1,3,3,1,1,1,112,112,1,8192.0,2981986304.0,0.00376,35013.0,29.819863,0.062029,16.497074,0.11212268488,1849688064
vgg16_unroll_conv2d_4_unroll_0_factor_0,1,1,1,114,114,128,3,3,128,128,1,112,112,128,0,0,1,114,114,1,3,3,1,1,1,112,112,1,16384.0,5962137600.0,0.00371,34001.0,59.621376,0.062048,16.724528,0.22119530496,3699376128
vgg16_unroll_conv2d_4_unroll_1_factor_0,1,1,1,114,114,128,3,3,128,128,1,112,112,128,1,0,1,114,114,1,3,3,1,1,1,112,112,1,16384.0,5962137600.0,0.00371,34078.0,59.621376,0.062048,16.724528,0.22119530496,3699376128
