configuration,strides,dilations,input_batch,input_width,input_height,input_channel,kernel_width,kernel_height,kernel_input_channels,kernel_output_channels,output_batch,output_width,output_height,output_channel,unroll_full,unroll_factor,actual_input_batch,actual_input_width,actual_input_height,actual_input_channel,actual_kernel_width,actual_kernel_height,actual_kernel_input_channels,actual_kernel_output_channels,actual_output_batch,actual_output_width,actual_output_height,actual_output_channel,number_of_tiles,simulation_cycles,total_power,area,runtime_in_s,gflops,gflops_per_watt,energy_consumed,flop_count
vgg16_unroll_conv2d_4_unroll_2_factor_0,1,1,1,114,114,128,3,3,128,128,1,112,112,128,2,0,1,114,114,1,3,3,1,1,1,112,112,1,16384.0,5962137600.0,0.00389,35301.0,59.621376,0.062048,15.950643,0.23192715264,3699376128
vgg16_unroll_conv2d_4_unroll_3_factor_0,1,1,1,114,114,128,3,3,128,128,1,112,112,128,3,0,1,114,114,1,3,3,1,1,1,112,112,1,16384.0,5963972608.0,0.00372,34779.0,59.639726,0.062029,16.674462,0.22185978072,3699376128
vgg16_unroll_conv2d_5_unroll_0_factor_0,1,1,1,58,58,128,3,3,128,256,1,56,56,256,0,0,1,58,58,32,3,3,32,1,1,56,56,1,1024.0,4640335872.0,0.00499,45805.0,46.403359,0.039861,7.988176,0.23155276141,1849688064
vgg16_unroll_conv2d_5_unroll_1_factor_4,1,1,1,58,58,128,3,3,128,256,1,56,56,256,1,4,1,58,58,32,3,3,32,1,1,56,56,1,1024.0,3731548160.0,0.00431,38538.0,37.315482,0.049569,11.500928,0.16082972742,1849688064
vgg16_unroll_conv2d_5_unroll_1_factor_8,1,1,1,58,58,128,3,3,128,256,1,56,56,256,1,8,1,58,58,32,3,3,32,1,1,56,56,1,1024.0,3789408256.0,0.00352,29189.0,37.894083,0.048812,13.867045,0.13338717216,1849688064
vgg16_unroll_conv2d_5_unroll_1_factor_16,1,1,1,58,58,128,3,3,128,256,1,56,56,256,1,16,1,58,58,32,3,3,32,1,1,56,56,1,1024.0,3789408256.0,0.00513,39145.0,37.894083,0.048812,9.51501,0.19439664579,1849688064
vgg16_unroll_conv2d_5_unroll_1_factor_0,1,1,1,58,58,128,3,3,128,256,1,56,56,256,1,0,1,58,58,32,3,3,32,1,1,56,56,1,1024.0,3731605504.0,0.00747,65802.0,37.316055,0.049568,6.635609,0.27875093085,1849688064
vgg16_unroll_conv2d_5_unroll_2_factor_0,1,1,1,58,58,128,3,3,128,256,1,56,56,256,2,0,1,58,58,32,3,3,32,1,1,56,56,1,1024.0,3712337920.0,0.0203,153350.0,37.123379,0.049825,2.454433,0.7536045937,1849688064
vgg16_unroll_conv2d_5_unroll_3_factor_0,1,1,1,58,58,128,3,3,128,256,1,56,56,256,3,0,1,58,58,32,3,3,32,1,1,56,56,1,1024.0,2795167744.0,0.0622,503323.0,27.951677,0.066174,1.063891,1.7385943094,1849688064
vgg16_unroll_conv2d_6_unroll_0_factor_0,1,1,1,58,58,256,3,3,256,256,1,56,56,256,0,0,1,58,58,32,3,3,32,1,1,56,56,1,2048.0,9280671744.0,0.005,45817.0,92.806717,0.039861,7.9722,0.464033585,3699376128
vgg16_unroll_conv2d_6_unroll_1_factor_4,1,1,1,58,58,256,3,3,256,256,1,56,56,256,1,4,1,58,58,32,3,3,32,1,1,56,56,1,2048.0,7463096320.0,0.0043,38529.0,74.630963,0.049569,11.527674,0.3209131409,3699376128
vgg16_unroll_conv2d_6_unroll_1_factor_8,1,1,1,58,58,256,3,3,256,256,1,56,56,256,1,8,1,58,58,32,3,3,32,1,1,56,56,1,2048.0,7578816512.0,0.00355,29286.0,75.788165,0.048812,13.749859,0.26904798575,3699376128
vgg16_unroll_conv2d_6_unroll_1_factor_16,1,1,1,58,58,256,3,3,256,256,1,56,56,256,1,16,1,58,58,32,3,3,32,1,1,56,56,1,2048.0,7578816512.0,0.00512,39174.0,75.788165,0.048812,9.533594,0.3880354048,3699376128
vgg16_unroll_conv2d_6_unroll_1_factor_0,1,1,1,58,58,256,3,3,256,256,1,56,56,256,1,0,1,58,58,32,3,3,32,1,1,56,56,1,2048.0,7463211008.0,0.00735,64748.0,74.63211,0.049568,6.743946,0.5485460085,3699376128
vgg16_unroll_conv2d_6_unroll_2_factor_0,1,1,1,58,58,256,3,3,256,256,1,56,56,256,2,0,1,58,58,32,3,3,32,1,1,56,56,1,2048.0,7424675840.0,0.0203,153438.0,74.246758,0.049825,2.454433,1.5072091874,3699376128
vgg16_unroll_conv2d_6_unroll_3_factor_0,1,1,1,58,58,256,3,3,256,256,1,56,56,256,3,0,1,58,58,32,3,3,32,1,1,56,56,1,2048.0,5590335488.0,0.064,508826.0,55.903355,0.066174,1.033969,3.57781472,3699376128
vgg16_unroll_conv2d_7_unroll_0_factor_0,1,1,1,58,58,256,3,3,256,256,1,56,56,256,0,0,1,58,58,32,3,3,32,1,1,56,56,1,2048.0,9280671744.0,0.00498,45750.0,92.806717,0.039861,8.004217,0.46217745066,3699376128
vgg16_unroll_conv2d_7_unroll_1_factor_4,1,1,1,58,58,256,3,3,256,256,1,56,56,256,1,4,1,58,58,32,3,3,32,1,1,56,56,1,2048.0,7463096320.0,0.00431,38527.0,74.630963,0.049569,11.500928,0.32165945053,3699376128
vgg16_unroll_conv2d_7_unroll_1_factor_8,1,1,1,58,58,256,3,3,256,256,1,56,56,256,1,8,1,58,58,32,3,3,32,1,1,56,56,1,2048.0,7578816512.0,0.00352,29189.0,75.788165,0.048812,13.867045,0.2667743408,3699376128
vgg16_unroll_conv2d_7_unroll_1_factor_16,1,1,1,58,58,256,3,3,256,256,1,56,56,256,1,16,1,58,58,32,3,3,32,1,1,56,56,1,2048.0,7578816512.0,0.00511,39093.0,75.788165,0.048812,9.55225,0.38727752315,3699376128
vgg16_unroll_conv2d_7_unroll_1_factor_0,1,1,1,58,58,256,3,3,256,256,1,56,56,256,1,0,1,58,58,32,3,3,32,1,1,56,56,1,2048.0,7463211008.0,0.00762,65865.0,74.63211,0.049568,6.504987,0.5686966782,3699376128
vgg16_unroll_conv2d_7_unroll_2_factor_0,1,1,1,58,58,256,3,3,256,256,1,56,56,256,2,0,1,58,58,32,3,3,32,1,1,56,56,1,2048.0,7424675840.0,0.02,152353.0,74.246758,0.049825,2.49125,1.48493516,3699376128
vgg16_unroll_conv2d_7_unroll_3_factor_0,1,1,1,58,58,256,3,3,256,256,1,56,56,256,3,0,1,58,58,32,3,3,32,1,1,56,56,1,2048.0,5590335488.0,0.0623,503661.0,55.903355,0.066174,1.062183,3.4827790165,3699376128
vgg16_unroll_conv2d_8_unroll_0_factor_0,1,1,1,30,30,256,3,3,256,512,1,28,28,512,0,0,1,30,30,32,3,3,32,1,1,28,28,1,4096.0,4640399360.0,0.00488,44679.0,46.403994,0.039861,8.168238,0.22645149072,1849688064
vgg16_unroll_conv2d_8_unroll_1_factor_4,1,1,1,30,30,256,3,3,256,512,1,28,28,512,1,4,1,30,30,32,3,3,32,1,1,28,28,1,4096.0,3731611648.0,0.00429,38095.0,37.316116,0.049568,11.554312,0.16008613764,1849688064
vgg16_unroll_conv2d_8_unroll_1_factor_8,1,1,1,30,30,256,3,3,256,512,1,28,28,512,1,8,1,30,30,32,3,3,32,1,1,28,28,1,4096.0,3789529088.0,0.0037,29099.0,37.895291,0.04881,13.191892,0.1402125767,1849688064
vgg16_unroll_conv2d_8_unroll_1_factor_16,1,1,1,30,30,256,3,3,256,512,1,28,28,512,1,16,1,30,30,32,3,3,32,1,1,28,28,1,4096.0,3789529088.0,0.00501,39003.0,37.895291,0.04881,9.742515,0.18985540791,1849688064
vgg16_unroll_conv2d_8_unroll_1_factor_0,1,1,1,30,30,256,3,3,256,512,1,28,28,512,1,0,1,30,30,32,3,3,32,1,1,28,28,1,4096.0,3731726336.0,0.00821,64816.0,37.317263,0.049567,6.037393,0.30637472923,1849688064
vgg16_unroll_conv2d_8_unroll_2_factor_0,1,1,1,30,30,256,3,3,256,512,1,28,28,512,2,0,1,30,30,32,3,3,32,1,1,28,28,1,4096.0,3712458752.0,0.0204,152749.0,37.124588,0.049824,2.442353,0.7573415952,1849688064
vgg16_unroll_conv2d_8_unroll_3_factor_0,1,1,1,30,30,256,3,3,256,512,1,28,28,512,3,0,1,30,30,32,3,3,32,1,1,28,28,1,4096.0,2806382592.0,0.0621,505584.0,28.063826,0.06591,1.061353,1.7427635946,1849688064
vgg16_unroll_conv2d_9_unroll_0_factor_0,1,1,1,30,30,512,3,3,512,512,1,28,28,512,0,0,1,30,30,32,3,3,32,1,1,28,28,1,8192.0,9280798720.0,0.00488,44667.0,92.807987,0.039861,8.168238,0.45290297656,3699376128
vgg16_unroll_conv2d_9_unroll_1_factor_4,1,1,1,30,30,512,3,3,512,512,1,28,28,512,1,4,1,30,30,32,3,3,32,1,1,28,28,1,8192.0,7463223296.0,0.0044,38663.0,74.632233,0.049568,11.265455,0.3283818252,3699376128
vgg16_unroll_conv2d_9_unroll_1_factor_8,1,1,1,30,30,512,3,3,512,512,1,28,28,512,1,8,1,30,30,32,3,3,32,1,1,28,28,1,8192.0,7579058176.0,0.0037,29080.0,75.790582,0.04881,13.191892,0.2804251534,3699376128
vgg16_unroll_conv2d_9_unroll_1_factor_16,1,1,1,30,30,512,3,3,512,512,1,28,28,512,1,16,1,30,30,32,3,3,32,1,1,28,28,1,8192.0,7579058176.0,0.00498,38831.0,75.790582,0.04881,9.801205,0.37743709836,3699376128
vgg16_unroll_conv2d_9_unroll_1_factor_0,1,1,1,30,30,512,3,3,512,512,1,28,28,512,1,0,1,30,30,32,3,3,32,1,1,28,28,1,8192.0,7463452672.0,0.00752,64949.0,74.634527,0.049567,6.591356,0.56125164304,3699376128
vgg16_unroll_conv2d_9_unroll_2_factor_0,1,1,1,30,30,512,3,3,512,512,1,28,28,512,2,0,1,30,30,32,3,3,32,1,1,28,28,1,8192.0,7424917504.0,0.0204,153762.0,74.249175,0.049824,2.442353,1.51468317,3699376128
vgg16_unroll_conv2d_9_unroll_3_factor_0,1,1,1,30,30,512,3,3,512,512,1,28,28,512,3,0,1,30,30,32,3,3,32,1,1,28,28,1,8192.0,5612765184.0,0.0638,509596.0,56.127652,0.06591,1.033072,3.5809441976,3699376128
vgg16_unroll_conv2d_10_unroll_0_factor_0,1,1,1,30,30,512,3,3,512,512,1,28,28,512,0,0,1,30,30,32,3,3,32,1,1,28,28,1,8192.0,9280798720.0,0.0049,44774.0,92.807987,0.039861,8.134898,0.4547591363,3699376128
vgg16_unroll_conv2d_10_unroll_1_factor_4,1,1,1,30,30,512,3,3,512,512,1,28,28,512,1,4,1,30,30,32,3,3,32,1,1,28,28,1,8192.0,7463223296.0,0.0043,38149.0,74.632233,0.049568,11.527442,0.3209186019,3699376128
vgg16_unroll_conv2d_10_unroll_1_factor_8,1,1,1,30,30,512,3,3,512,512,1,28,28,512,1,8,1,30,30,32,3,3,32,1,1,28,28,1,8192.0,7579058176.0,0.0037,29099.0,75.790582,0.04881,13.191892,0.2804251534,3699376128
vgg16_unroll_conv2d_10_unroll_1_factor_16,1,1,1,30,30,512,3,3,512,512,1,28,28,512,1,16,1,30,30,32,3,3,32,1,1,28,28,1,8192.0,7579058176.0,0.00499,38968.0,75.790582,0.04881,9.781563,0.37819500418,3699376128
vgg16_unroll_conv2d_10_unroll_1_factor_0,1,1,1,30,30,512,3,3,512,512,1,28,28,512,1,0,1,30,30,32,3,3,32,1,1,28,28,1,8192.0,7463452672.0,0.00754,64671.0,74.634527,0.049567,6.573873,0.56274433358,3699376128
vgg16_unroll_conv2d_10_unroll_2_factor_0,1,1,1,30,30,512,3,3,512,512,1,28,28,512,2,0,1,30,30,32,3,3,32,1,1,28,28,1,8192.0,7424917504.0,0.0205,154215.0,74.249175,0.049824,2.430439,1.5221080875,3699376128
vgg16_unroll_conv2d_10_unroll_3_factor_0,1,1,1,30,30,512,3,3,512,512,1,28,28,512,3,0,1,30,30,32,3,3,32,1,1,28,28,1,8192.0,5612765184.0,0.0635,505051.0,56.127652,0.06591,1.037953,3.564105902,3699376128
vgg16_unroll_conv2d_11_unroll_0_factor_0,1,1,1,16,16,512,3,3,512,512,1,14,14,512,0,0,1,16,16,32,3,3,32,1,1,14,14,1,8192.0,2320269312.0,0.00519,43910.0,23.202693,0.039859,7.679961,0.12042197667,924844032
vgg16_unroll_conv2d_11_unroll_1_factor_4,1,1,1,16,16,512,3,3,512,512,1,14,14,512,1,4,1,16,16,32,3,3,32,1,1,14,14,1,8192.0,1865875456.0,0.00431,38019.0,18.658755,0.049566,11.500232,0.08041923405,924844032
vgg16_unroll_conv2d_11_unroll_1_factor_8,1,1,1,16,16,512,3,3,512,512,1,14,14,512,1,8,1,16,16,32,3,3,32,1,1,14,14,1,8192.0,1894891520.0,0.00354,28374.0,18.948915,0.048807,13.787288,0.0670791591,924844032
vgg16_unroll_conv2d_11_unroll_1_factor_16,1,1,1,16,16,512,3,3,512,512,1,14,14,512,1,16,1,16,16,32,3,3,32,1,1,14,14,1,8192.0,1894891520.0,0.005,39294.0,18.948915,0.048807,9.7614,0.094744575,924844032
vgg16_unroll_conv2d_11_unroll_1_factor_0,1,1,1,16,16,512,3,3,512,512,1,14,14,512,1,0,1,16,16,32,3,3,32,1,1,14,14,1,8192.0,1865990144.0,0.00745,64947.0,18.659901,0.049563,6.652752,0.13901626245,924844032
vgg16_unroll_conv2d_11_unroll_2_factor_0,1,1,1,16,16,512,3,3,512,512,1,14,14,512,2,0,1,16,16,32,3,3,32,1,1,14,14,1,8192.0,1856356352.0,0.0201,151747.0,18.563564,0.04982,2.478607,0.3731276364,924844032
vgg16_unroll_conv2d_11_unroll_3_factor_0,1,1,1,16,16,512,3,3,512,512,1,14,14,512,3,0,1,16,16,32,3,3,32,1,1,14,14,1,8192.0,1414725632.0,0.0642,496429.0,14.147256,0.065373,1.018271,0.9082538352,924844032
vgg16_unroll_conv2d_12_unroll_0_factor_0,1,1,1,16,16,512,3,3,512,512,1,14,14,512,0,0,1,16,16,32,3,3,32,1,1,14,14,1,8192.0,2320269312.0,0.00489,44132.0,23.202693,0.039859,8.151125,0.11346116877,924844032
vgg16_unroll_conv2d_12_unroll_1_factor_4,1,1,1,16,16,512,3,3,512,512,1,14,14,512,1,4,1,16,16,32,3,3,32,1,1,14,14,1,8192.0,1865875456.0,0.0043,37965.0,18.658755,0.049566,11.526977,0.0802326465,924844032
vgg16_unroll_conv2d_12_unroll_1_factor_8,1,1,1,16,16,512,3,3,512,512,1,14,14,512,1,8,1,16,16,32,3,3,32,1,1,14,14,1,8192.0,1894891520.0,0.00354,28381.0,18.948915,0.048807,13.787288,0.0670791591,924844032
vgg16_unroll_conv2d_12_unroll_1_factor_16,1,1,1,16,16,512,3,3,512,512,1,14,14,512,1,16,1,16,16,32,3,3,32,1,1,14,14,1,8192.0,1894891520.0,0.00447,39351.0,18.948915,0.048807,10.918792,0.08470165005,924844032
vgg16_unroll_conv2d_12_unroll_1_factor_0,1,1,1,16,16,512,3,3,512,512,1,14,14,512,1,0,1,16,16,32,3,3,32,1,1,14,14,1,8192.0,1865990144.0,0.00723,63657.0,18.659901,0.049563,6.855187,0.13491108423,924844032
vgg16_unroll_conv2d_12_unroll_2_factor_0,1,1,1,16,16,512,3,3,512,512,1,14,14,512,2,0,1,16,16,32,3,3,32,1,1,14,14,1,8192.0,1856356352.0,0.0203,152220.0,18.563564,0.04982,2.454187,0.3768403492,924844032
vgg16_unroll_conv2d_12_unroll_3_factor_0,1,1,1,16,16,512,3,3,512,512,1,14,14,512,3,0,1,16,16,32,3,3,32,1,1,14,14,1,8192.0,1414725632.0,0.0643,500911.0,14.147256,0.065373,1.016687,0.9096685608,924844032
vgg16_unroll_conv2d_13_unroll_0_factor_0,1,1,1,16,16,512,3,3,512,512,1,14,14,512,0,0,1,16,16,32,3,3,32,1,1,14,14,1,8192.0,2320269312.0,0.00488,44088.0,23.202693,0.039859,8.167828,0.11322914184,924844032
vgg16_unroll_conv2d_13_unroll_1_factor_4,1,1,1,16,16,512,3,3,512,512,1,14,14,512,1,4,1,16,16,32,3,3,32,1,1,14,14,1,8192.0,1865875456.0,0.0043,38016.0,18.658755,0.049566,11.526977,0.0802326465,924844032
vgg16_unroll_conv2d_13_unroll_1_factor_8,1,1,1,16,16,512,3,3,512,512,1,14,14,512,1,8,1,16,16,32,3,3,32,1,1,14,14,1,8192.0,1894891520.0,0.00355,28361.0,18.948915,0.048807,13.748451,0.06726864825,924844032
vgg16_unroll_conv2d_13_unroll_1_factor_16,1,1,1,16,16,512,3,3,512,512,1,14,14,512,1,16,1,16,16,32,3,3,32,1,1,14,14,1,8192.0,1894891520.0,0.005,39343.0,18.948915,0.048807,9.7614,0.094744575,924844032
vgg16_unroll_conv2d_13_unroll_1_factor_0,1,1,1,16,16,512,3,3,512,512,1,14,14,512,1,0,1,16,16,32,3,3,32,1,1,14,14,1,8192.0,1865990144.0,0.00737,63879.0,18.659901,0.049563,6.724966,0.13752347037,924844032
vgg16_unroll_conv2d_13_unroll_2_factor_0,1,1,1,16,16,512,3,3,512,512,1,14,14,512,2,0,1,16,16,32,3,3,32,1,1,14,14,1,8192.0,1856356352.0,0.0201,151899.0,18.563564,0.04982,2.478607,0.3731276364,924844032
vgg16_unroll_conv2d_13_unroll_3_factor_0,1,1,1,16,16,512,3,3,512,512,1,14,14,512,3,0,1,16,16,32,3,3,32,1,1,14,14,1,8192.0,1414725632.0,0.0626,496052.0,14.147256,0.065373,1.044297,0.8856182256,924844032
