configuration,strides,dilations,input_batch,input_width,input_height,input_channel,kernel_width,kernel_height,kernel_input_channels,kernel_output_channels,output_batch,output_width,output_height,output_channel,permuation_order_1,permuation_order_2,permuation_order_3,permuation_order_4,permuation_order_5,permuation_order_6,permuation_order_7,actual_input_batch,actual_input_width,actual_input_height,actual_input_channel,actual_kernel_width,actual_kernel_height,actual_kernel_input_channels,actual_kernel_output_channels,actual_output_batch,actual_output_width,actual_output_height,actual_output_channel,number_of_tiles,simulation_cycles,total_power,area,runtime_in_s,gflops,gflops_per_watt,energy_consumed,flop_count
vgg16_permute_conv2d_5_0123465,1,1,1,58,58,128,3,3,128,256,1,56,56,256,0,1,2,3,4,6,5,1,58,58,8,3,3,8,1,1,56,56,1,4096.0,3152261120.0,0.0227,170208.0,31.522611,0.058678,2.584934,0.7155632697,1849688064
vgg16_permute_conv2d_5_0132465,1,1,1,58,58,128,3,3,128,256,1,56,56,256,0,1,3,2,4,6,5,1,58,58,8,3,3,8,1,1,56,56,1,4096.0,3152261120.0,0.0216,170698.0,31.522611,0.058678,2.716574,0.6808883976,1849688064
vgg16_permute_conv2d_5_0213465,1,1,1,58,58,128,3,3,128,256,1,56,56,256,0,2,1,3,4,6,5,1,58,58,8,3,3,8,1,1,56,56,1,4096.0,3152261120.0,0.0214,170615.0,31.522611,0.058678,2.741963,0.6745838754,1849688064
vgg16_permute_conv2d_5_0231465,1,1,1,58,58,128,3,3,128,256,1,56,56,256,0,3,1,2,4,6,5,1,58,58,8,3,3,8,1,1,56,56,1,4096.0,3152261120.0,0.0214,170984.0,31.522611,0.058678,2.741963,0.6745838754,1849688064
vgg16_permute_conv2d_5_0312465,1,1,1,58,58,128,3,3,128,256,1,56,56,256,0,2,3,1,4,6,5,1,58,58,8,3,3,8,1,1,56,56,1,4096.0,3152261120.0,0.0217,170659.0,31.522611,0.058678,2.704055,0.6840406587,1849688064
vgg16_permute_conv2d_5_0321465,1,1,1,58,58,128,3,3,128,256,1,56,56,256,0,3,2,1,4,6,5,1,58,58,8,3,3,8,1,1,56,56,1,4096.0,3152261120.0,0.0214,169651.0,31.522611,0.058678,2.741963,0.6745838754,1849688064
vgg16_permute_conv2d_6_0123465,1,1,1,58,58,256,3,3,256,256,1,56,56,256,0,1,2,3,4,6,5,1,58,58,8,3,3,8,1,1,56,56,1,8192.0,6304522240.0,0.0223,170056.0,63.045222,0.058678,2.6313,1.4059084506,3699376128
vgg16_permute_conv2d_6_0132465,1,1,1,58,58,256,3,3,256,256,1,56,56,256,0,1,3,2,4,6,5,1,58,58,8,3,3,8,1,1,56,56,1,8192.0,6304522240.0,0.0218,170515.0,63.045222,0.058678,2.691651,1.3743858396,3699376128
vgg16_permute_conv2d_6_0213465,1,1,1,58,58,256,3,3,256,256,1,56,56,256,0,2,1,3,4,6,5,1,58,58,8,3,3,8,1,1,56,56,1,8192.0,6304522240.0,0.0214,169995.0,63.045222,0.058678,2.741963,1.3491677508,3699376128
vgg16_permute_conv2d_6_0231465,1,1,1,58,58,256,3,3,256,256,1,56,56,256,0,3,1,2,4,6,5,1,58,58,8,3,3,8,1,1,56,56,1,8192.0,6304522240.0,0.0225,169940.0,63.045222,0.058678,2.607911,1.418517495,3699376128
vgg16_permute_conv2d_6_0312465,1,1,1,58,58,256,3,3,256,256,1,56,56,256,0,2,3,1,4,6,5,1,58,58,8,3,3,8,1,1,56,56,1,8192.0,6304522240.0,0.0227,171832.0,63.045222,0.058678,2.584934,1.4311265394,3699376128
vgg16_permute_conv2d_6_0321465,1,1,1,58,58,256,3,3,256,256,1,56,56,256,0,3,2,1,4,6,5,1,58,58,8,3,3,8,1,1,56,56,1,8192.0,6304522240.0,0.0215,170522.0,63.045222,0.058678,2.729209,1.355472273,3699376128
vgg16_permute_conv2d_7_0123465,1,1,1,58,58,256,3,3,256,256,1,56,56,256,0,1,2,3,4,6,5,1,58,58,8,3,3,8,1,1,56,56,1,8192.0,6304522240.0,0.0216,170116.0,63.045222,0.058678,2.716574,1.3617767952,3699376128
vgg16_permute_conv2d_7_0132465,1,1,1,58,58,256,3,3,256,256,1,56,56,256,0,1,3,2,4,6,5,1,58,58,8,3,3,8,1,1,56,56,1,8192.0,6304522240.0,0.0215,170761.0,63.045222,0.058678,2.729209,1.355472273,3699376128
vgg16_permute_conv2d_7_0213465,1,1,1,58,58,256,3,3,256,256,1,56,56,256,0,2,1,3,4,6,5,1,58,58,8,3,3,8,1,1,56,56,1,8192.0,6304522240.0,0.0221,169392.0,63.045222,0.058678,2.655113,1.3932994062,3699376128
vgg16_permute_conv2d_7_0231465,1,1,1,58,58,256,3,3,256,256,1,56,56,256,0,3,1,2,4,6,5,1,58,58,8,3,3,8,1,1,56,56,1,8192.0,6304522240.0,0.0215,169835.0,63.045222,0.058678,2.729209,1.355472273,3699376128
vgg16_permute_conv2d_7_0312465,1,1,1,58,58,256,3,3,256,256,1,56,56,256,0,2,3,1,4,6,5,1,58,58,8,3,3,8,1,1,56,56,1,8192.0,6304522240.0,0.0212,170214.0,63.045222,0.058678,2.76783,1.3365587064,3699376128
vgg16_permute_conv2d_7_0321465,1,1,1,58,58,256,3,3,256,256,1,56,56,256,0,3,2,1,4,6,5,1,58,58,8,3,3,8,1,1,56,56,1,8192.0,6304522240.0,0.0212,169429.0,63.045222,0.058678,2.76783,1.3365587064,3699376128
