configuration,strides,dilations,input_batch,input_width,input_height,input_channel,kernel_width,kernel_height,kernel_input_channels,kernel_output_channels,output_batch,output_width,output_height,output_channel,unroll_full,unroll_factor,actual_input_batch,actual_input_width,actual_input_height,actual_input_channel,actual_kernel_width,actual_kernel_height,actual_kernel_input_channels,actual_kernel_output_channels,actual_output_batch,actual_output_width,actual_output_height,actual_output_channel,number_of_tiles,simulation_cycles,total_power,area,runtime_in_s,gflops,gflops_per_watt,energy_consumed,flop_count
resnet18_unroll_conv2d_9_unroll_1_factor_0,1,1,1,30,30,128,3,3,128,128,1,28,28,128,1,0,1,30,30,32,3,3,32,1,1,28,28,1,512.0,466465792.0,0.00839,64897.0,4.664658,0.049567,5.907867,0.03913648062,231211008
resnet18_unroll_conv2d_9_unroll_2_factor_0,1,1,1,30,30,128,3,3,128,128,1,28,28,128,2,0,1,30,30,32,3,3,32,1,1,28,28,1,512.0,464057344.0,0.02,153151.0,4.640573,0.049824,2.4912,0.09281146,231211008
resnet18_unroll_conv2d_9_unroll_3_factor_0,1,1,1,30,30,128,3,3,128,128,1,28,28,128,3,0,1,30,30,32,3,3,32,1,1,28,28,1,512.0,350797824.0,0.0638,509577.0,3.507978,0.06591,1.033072,0.2238089964,231211008
resnet18_unroll_conv2d_10_unroll_0_factor_0,1,1,1,30,30,128,3,3,128,128,1,28,28,128,0,0,1,30,30,32,3,3,32,1,1,28,28,1,512.0,580049920.0,0.00489,44743.0,5.800499,0.039861,8.151534,0.02836444011,231211008
resnet18_unroll_conv2d_10_unroll_1_factor_4,1,1,1,30,30,128,3,3,128,128,1,28,28,128,1,4,1,30,30,32,3,3,32,1,1,28,28,1,512.0,466451456.0,0.00427,38019.0,4.664515,0.049568,11.608431,0.01991747905,231211008
resnet18_unroll_conv2d_10_unroll_1_factor_8,1,1,1,30,30,128,3,3,128,128,1,28,28,128,1,8,1,30,30,32,3,3,32,1,1,28,28,1,512.0,473691136.0,0.00362,28722.0,4.736911,0.048811,13.483702,0.01714761782,231211008
resnet18_unroll_conv2d_10_unroll_1_factor_16,1,1,1,30,30,128,3,3,128,128,1,28,28,128,1,16,1,30,30,32,3,3,32,1,1,28,28,1,512.0,473691136.0,0.005,38925.0,4.736911,0.048811,9.7622,0.023684555,231211008
resnet18_unroll_conv2d_10_unroll_1_factor_0,1,1,1,30,30,128,3,3,128,128,1,28,28,128,1,0,1,30,30,32,3,3,32,1,1,28,28,1,512.0,466465792.0,0.00749,64645.0,4.664658,0.049567,6.617757,0.03493828842,231211008
resnet18_unroll_conv2d_10_unroll_2_factor_0,1,1,1,30,30,128,3,3,128,128,1,28,28,128,2,0,1,30,30,32,3,3,32,1,1,28,28,1,512.0,464057344.0,0.0202,152651.0,4.640573,0.049824,2.466535,0.0937395746,231211008
resnet18_unroll_conv2d_10_unroll_3_factor_0,1,1,1,30,30,128,3,3,128,128,1,28,28,128,3,0,1,30,30,32,3,3,32,1,1,28,28,1,512.0,350797824.0,0.0627,505256.0,3.507978,0.06591,1.051196,0.2199502206,231211008
