configuration,input_batch,input_width,input_height,weight_batch,weight_width,weight_height,output_batch,output_width,output_height,unroll_full,unroll_factor,actual_input_batch,actual_input_width,actual_input_height,actual_weight_batch,actual_weight_width,actual_weight_height,actual_output_batch,actual_output_width,actual_output_height,number_of_tiles,simulation_cycles,total_power,area,runtime_in_s,gflops,gflops_per_watt,energy_consumed,flop_count
vgg19_unroll_matmul_1_unroll_0_factor_0,1,1,25088,1,25088,4096,1,1,4096,0,0,1,1,32,1,32,32,1,1,32,100352.0,424087552.0,0.0014,12258.0,4.240876,0.048462,34.615714,0.0059372264,205520896
vgg19_unroll_matmul_1_unroll_2_factor_0,1,1,25088,1,25088,4096,1,1,4096,2,0,1,1,32,1,32,32,1,1,32,100352.0,117211136.0,0.165,1145763.0,1.172111,0.175343,1.062685,0.193398315,205520896
vgg19_unroll_matmul_2_unroll_0_factor_0,1,1,4096,1,4096,4096,1,1,4096,0,0,1,1,32,1,32,32,1,1,32,16384.0,69238784.0,0.0014,12258.0,0.692388,0.048462,34.615714,0.0009693432,33554432
vgg19_unroll_matmul_3_unroll_0_factor_0,1,1,4096,1,4096,1000,1,1,1000,0,0,1,1,32,1,32,25,1,1,25,5120.0,16906240.0,0.00164,13532.0,0.169062,0.048456,29.546341,0.00027726168,8192000
vgg19_unroll_matmul_3_unroll_2_factor_0,1,1,4096,1,4096,1000,1,1,1000,2,0,1,1,32,1,32,25,1,1,25,5120.0,4787200.0,0.132,912028.0,0.047872,0.171123,1.296386,0.006319104,8192000
vgg19_unroll_matmul_2_unroll_2_factor_0,1,1,4096,1,4096,4096,1,1,4096,2,0,1,1,32,1,32,32,1,1,32,16384.0,19136512.0,0.164,1147639.0,0.191365,0.175343,1.069165,0.03138386,33554432
vgg19_unroll_matmul_3_unroll_0_factor_0,1,1,4096,1,4096,1000,1,1,1000,0,0,1,1,32,1,32,25,1,1,25,5120.0,16906240.0,0.00167,13557.0,0.169062,0.048456,29.015569,0.00028233354,8192000
vgg19_unroll_matmul_3_unroll_2_factor_0,1,1,4096,1,4096,1000,1,1,1000,2,0,1,1,32,1,32,25,1,1,25,5120.0,4787200.0,0.131,905114.0,0.047872,0.171123,1.306282,0.006271232,8192000
