configuration,strides,dilations,input_batch,input_width,input_height,input_channel,kernel_width,kernel_height,kernel_input_channels,kernel_output_channels,output_batch,output_width,output_height,output_channel,tiled_output_batch,tiled_output_width,tiled_output_height,tiled_output_channel,tiled_kernel_width,tiled_kernel_height,tiled_input_channel,actual_input_batch,actual_input_width,actual_input_height,actual_input_channel,actual_kernel_width,actual_kernel_height,actual_kernel_input_channels,actual_kernel_output_channels,actual_output_batch,actual_output_width,actual_output_height,actual_output_channel,number_of_tiles,simulation_cycles,total_power,area,runtime_in_s,gflops,gflops_per_watt,energy_consumed,flop_count
vgg19_tile_conv2d_3_0000000,1,1,1,114,114,64,3,3,64,128,1,112,112,128,0,0,0,0,0,0,0,1,114,114,1,3,3,1,1,1,112,112,1,8192.0,4232478720.0,0.0073,59012.0,42.324787,0.043702,5.986575,0.3089709451,1849688064
vgg19_tile_conv2d_4_0000000,1,1,1,114,114,128,3,3,128,128,1,112,112,128,0,0,0,0,0,0,0,1,114,114,1,3,3,1,1,1,112,112,1,16384.0,8464957440.0,0.0073,59012.0,84.649574,0.043702,5.986575,0.6179418902,3699376128
vgg19_tile_conv2d_5_0000000,1,1,1,58,58,128,3,3,128,256,1,56,56,256,0,0,0,0,0,0,0,1,58,58,8,3,3,8,1,1,56,56,1,4096.0,4090769408.0,0.0129,114047.0,40.907694,0.045216,3.505116,0.5277092526,1849688064
vgg19_tile_conv2d_6_0000000,1,1,1,58,58,256,3,3,256,256,1,56,56,256,0,0,0,0,0,0,0,1,58,58,8,3,3,8,1,1,56,56,1,8192.0,8181538816.0,0.0133,114073.0,81.815388,0.045216,3.399699,1.0881446604,3699376128
vgg19_tile_conv2d_7_0000000,1,1,1,58,58,256,3,3,256,256,1,56,56,256,0,0,0,0,0,0,0,1,58,58,8,3,3,8,1,1,56,56,1,8192.0,8181538816.0,0.0129,114033.0,81.815388,0.045216,3.505116,1.0554185052,3699376128
vgg19_tile_conv2d_8_0000000,1,1,1,58,58,256,3,3,256,256,1,56,56,256,0,0,0,0,0,0,0,1,58,58,8,3,3,8,1,1,56,56,1,8192.0,8181538816.0,0.0128,113666.0,81.815388,0.045216,3.5325,1.0472369664,3699376128
vgg19_tile_conv2d_9_0000000,1,1,1,30,30,256,3,3,256,512,1,28,28,512,0,0,0,0,0,0,0,1,30,30,32,3,3,32,1,1,28,28,1,4096.0,5134077952.0,0.0201,173617.0,51.34078,0.036028,1.792438,1.031949678,1849688064
vgg19_tile_conv2d_10_0000000,1,1,1,30,30,512,3,3,512,512,1,28,28,512,0,0,0,0,0,0,0,1,30,30,32,3,3,32,1,1,28,28,1,8192.0,10268155904.0,0.0199,172815.0,102.681559,0.036028,1.810452,2.0433630241,3699376128
vgg19_tile_conv2d_11_0000000,1,1,1,30,30,512,3,3,512,512,1,28,28,512,0,0,0,0,0,0,0,1,30,30,32,3,3,32,1,1,28,28,1,8192.0,10268155904.0,0.0217,173472.0,102.681559,0.036028,1.660276,2.2281898303,3699376128
vgg19_tile_conv2d_12_0000000,1,1,1,30,30,512,3,3,512,512,1,28,28,512,0,0,0,0,0,0,0,1,30,30,32,3,3,32,1,1,28,28,1,8192.0,10268155904.0,0.0201,173954.0,102.681559,0.036028,1.792438,2.0638993359,3699376128
vgg19_tile_conv2d_13_0000000,1,1,1,16,16,512,3,3,512,512,1,14,14,512,0,0,0,0,0,0,0,1,16,16,128,3,3,128,1,1,14,14,1,2048.0,2594516992.0,0.0132,116487.0,25.94517,0.035646,2.700455,0.342476244,924844032
vgg19_tile_conv2d_14_0000000,1,1,1,16,16,512,3,3,512,512,1,14,14,512,0,0,0,0,0,0,0,1,16,16,128,3,3,128,1,1,14,14,1,2048.0,2594516992.0,0.0136,116376.0,25.94517,0.035646,2.621029,0.352854312,924844032
vgg19_tile_conv2d_15_0000000,1,1,1,16,16,512,3,3,512,512,1,14,14,512,0,0,0,0,0,0,0,1,16,16,128,3,3,128,1,1,14,14,1,2048.0,2594516992.0,0.0132,116741.0,25.94517,0.035646,2.700455,0.342476244,924844032
vgg19_tile_conv2d_16_0000000,1,1,1,16,16,512,3,3,512,512,1,14,14,512,0,0,0,0,0,0,0,1,16,16,128,3,3,128,1,1,14,14,1,2048.0,2594516992.0,0.0133,117287.0,25.94517,0.035646,2.68015,0.345070761,924844032
vgg19_tile_conv2d_9_18813316,1,1,1,30,30,256,3,3,256,512,1,28,28,512,1,8,8,1,3,3,16,1,30,30,32,3,3,32,1,1,28,28,1,4096.0,4240199680.0,0.0203,175638.0,42.401997,0.043623,2.148916,0.8607605391,1849688064
vgg19_tile_conv2d_10_18813316,1,1,1,30,30,512,3,3,512,512,1,28,28,512,1,8,8,1,3,3,16,1,30,30,32,3,3,32,1,1,28,28,1,8192.0,8480399360.0,0.0202,175037.0,84.803994,0.043623,2.159554,1.7130406788,3699376128
vgg19_tile_conv2d_11_18813316,1,1,1,30,30,512,3,3,512,512,1,28,28,512,1,8,8,1,3,3,16,1,30,30,32,3,3,32,1,1,28,28,1,8192.0,8480399360.0,0.0204,175884.0,84.803994,0.043623,2.138382,1.7300014776,3699376128
vgg19_tile_conv2d_12_18813316,1,1,1,30,30,512,3,3,512,512,1,28,28,512,1,8,8,1,3,3,16,1,30,30,32,3,3,32,1,1,28,28,1,8192.0,8480399360.0,0.0204,175927.0,84.803994,0.043623,2.138382,1.7300014776,3699376128
vgg19_tile_conv2d_13_1141413316,1,1,1,16,16,512,3,3,512,512,1,14,14,512,1,14,14,1,3,3,16,1,16,16,128,3,3,128,1,1,14,14,1,2048.0,2143952896.0,0.0179,159632.0,21.439529,0.043137,2.409888,0.3837675691,924844032
vgg19_tile_conv2d_14_1141413316,1,1,1,16,16,512,3,3,512,512,1,14,14,512,1,14,14,1,3,3,16,1,16,16,128,3,3,128,1,1,14,14,1,2048.0,2143952896.0,0.0184,160834.0,21.439529,0.043137,2.344402,0.3944873336,924844032
vgg19_tile_conv2d_15_1141413316,1,1,1,16,16,512,3,3,512,512,1,14,14,512,1,14,14,1,3,3,16,1,16,16,128,3,3,128,1,1,14,14,1,2048.0,2143952896.0,0.0184,160761.0,21.439529,0.043137,2.344402,0.3944873336,924844032
vgg19_tile_conv2d_16_1141413316,1,1,1,16,16,512,3,3,512,512,1,14,14,512,1,14,14,1,3,3,16,1,16,16,128,3,3,128,1,1,14,14,1,2048.0,2143952896.0,0.0183,161826.0,21.439529,0.043137,2.357213,0.3923433807,924844032
