configuration,strides,dilations,input_batch,input_width,input_height,input_channel,kernel_width,kernel_height,kernel_input_channels,kernel_output_channels,output_batch,output_width,output_height,output_channel,tiled_output_batch,tiled_output_width,tiled_output_height,tiled_output_channel,tiled_kernel_width,tiled_kernel_height,tiled_input_channel,actual_input_batch,actual_input_width,actual_input_height,actual_input_channel,actual_kernel_width,actual_kernel_height,actual_kernel_input_channels,actual_kernel_output_channels,actual_output_batch,actual_output_width,actual_output_height,actual_output_channel,number_of_tiles,simulation_cycles,total_power,area,runtime_in_s,gflops,gflops_per_watt,energy_consumed,flop_count
vgg16_tile_conv2d_11_144133128,1,1,1,16,16,512,3,3,512,512,1,14,14,512,1,4,4,1,3,3,128,1,16,16,128,3,3,128,1,1,14,14,1,2048.0,2594824192.0,0.0143,121786.0,25.948242,0.035642,2.492448,0.3710598606,924844032
vgg16_tile_conv2d_11_1881334,1,1,1,16,16,512,3,3,512,512,1,14,14,512,1,8,8,1,3,3,4,1,16,16,128,3,3,128,1,1,14,14,1,2048.0,2186215424.0,0.0124,111295.0,21.862154,0.042303,3.411532,0.2710907096,924844032
vgg16_tile_conv2d_11_1881338,1,1,1,16,16,512,3,3,512,512,1,14,14,512,1,8,8,1,3,3,8,1,16,16,128,3,3,128,1,1,14,14,1,2048.0,2158428160.0,0.0145,127924.0,21.584282,0.042848,2.955034,0.312972089,924844032
vgg16_tile_conv2d_11_18813316,1,1,1,16,16,512,3,3,512,512,1,14,14,512,1,8,8,1,3,3,16,1,16,16,128,3,3,128,1,1,14,14,1,2048.0,2144534528.0,0.0183,160463.0,21.445345,0.043126,2.356612,0.3924498135,924844032
vgg16_tile_conv2d_11_18813332,1,1,1,16,16,512,3,3,512,512,1,14,14,512,1,8,8,1,3,3,32,1,16,16,128,3,3,128,1,1,14,14,1,2048.0,2601570304.0,0.0143,120736.0,26.015703,0.035549,2.485944,0.3720245529,924844032
vgg16_tile_conv2d_11_18813364,1,1,1,16,16,512,3,3,512,512,1,14,14,512,1,8,8,1,3,3,64,1,16,16,128,3,3,128,1,1,14,14,1,2048.0,2596753408.0,0.0136,121275.0,25.967534,0.035615,2.61875,0.3531584624,924844032
vgg16_tile_conv2d_11_188133128,1,1,1,16,16,512,3,3,512,512,1,14,14,512,1,8,8,1,3,3,128,1,16,16,128,3,3,128,1,1,14,14,1,2048.0,2594648064.0,0.0132,116958.0,25.946481,0.035644,2.700303,0.3424935492,924844032
vgg16_tile_conv2d_11_114141334,1,1,1,16,16,512,3,3,512,512,1,14,14,512,1,14,14,1,3,3,4,1,16,16,128,3,3,128,1,1,14,14,1,2048.0,2183962624.0,0.0124,111595.0,21.839626,0.042347,3.415081,0.2708113624,924844032
vgg16_tile_conv2d_11_114141338,1,1,1,16,16,512,3,3,512,512,1,14,14,512,1,14,14,1,3,3,8,1,16,16,128,3,3,128,1,1,14,14,1,2048.0,2157289472.0,0.0142,126862.0,21.572895,0.042871,3.019085,0.306335109,924844032
vgg16_tile_conv2d_11_1141413316,1,1,1,16,16,512,3,3,512,512,1,14,14,512,1,14,14,1,3,3,16,1,16,16,128,3,3,128,1,1,14,14,1,2048.0,2143952896.0,0.018,159997.0,21.439529,0.043137,2.3965,0.385911522,924844032
vgg16_tile_conv2d_11_1141413332,1,1,1,16,16,512,3,3,512,512,1,14,14,512,1,14,14,1,3,3,32,1,16,16,128,3,3,128,1,1,14,14,1,2048.0,2600632320.0,0.0136,120623.0,26.006323,0.035562,2.614853,0.3536859928,924844032
vgg16_tile_conv2d_11_1141413364,1,1,1,16,16,512,3,3,512,512,1,14,14,512,1,14,14,1,3,3,64,1,16,16,128,3,3,128,1,1,14,14,1,2048.0,2596556800.0,0.0142,121500.0,25.965568,0.035618,2.50831,0.3687110656,924844032
vgg16_tile_conv2d_12_0000000,1,1,1,16,16,512,3,3,512,512,1,14,14,512,0,0,0,0,0,0,0,1,16,16,128,3,3,128,1,1,14,14,1,2048.0,2594516992.0,0.0132,117108.0,25.94517,0.035646,2.700455,0.342476244,924844032
vgg16_tile_conv2d_12_1441334,1,1,1,16,16,512,3,3,512,512,1,14,14,512,1,4,4,1,3,3,4,1,16,16,128,3,3,128,1,1,14,14,1,2048.0,2190917632.0,0.0129,115175.0,21.909176,0.042213,3.272326,0.2826283704,924844032
vgg16_tile_conv2d_12_1441338,1,1,1,16,16,512,3,3,512,512,1,14,14,512,1,4,4,1,3,3,8,1,16,16,128,3,3,128,1,1,14,14,1,2048.0,2160508928.0,0.0149,131219.0,21.605089,0.042807,2.872953,0.3219158261,924844032
vgg16_tile_conv2d_12_14413316,1,1,1,16,16,512,3,3,512,512,1,14,14,512,1,4,4,1,3,3,16,1,16,16,128,3,3,128,1,1,14,14,1,2048.0,2145304576.0,0.0201,164141.0,21.453046,0.04311,2.144776,0.4312062246,924844032
vgg16_tile_conv2d_12_14413332,1,1,1,16,16,512,3,3,512,512,1,14,14,512,1,4,4,1,3,3,32,1,16,16,128,3,3,128,1,1,14,14,1,2048.0,2602287104.0,0.0146,125517.0,26.022871,0.03554,2.434247,0.3799339166,924844032
vgg16_tile_conv2d_12_14413364,1,1,1,16,16,512,3,3,512,512,1,14,14,512,1,4,4,1,3,3,64,1,16,16,128,3,3,128,1,1,14,14,1,2048.0,2597126144.0,0.0146,125529.0,25.971261,0.03561,2.439041,0.3791804106,924844032
vgg16_tile_conv2d_12_144133128,1,1,1,16,16,512,3,3,512,512,1,14,14,512,1,4,4,1,3,3,128,1,16,16,128,3,3,128,1,1,14,14,1,2048.0,2594791424.0,0.0136,120314.0,25.947914,0.035642,2.620735,0.3528916304,924844032
vgg16_tile_conv2d_12_1881334,1,1,1,16,16,512,3,3,512,512,1,14,14,512,1,8,8,1,3,3,4,1,16,16,128,3,3,128,1,1,14,14,1,2048.0,2186215424.0,0.0125,111321.0,21.862154,0.042303,3.38424,0.273276925,924844032
vgg16_tile_conv2d_12_1881338,1,1,1,16,16,512,3,3,512,512,1,14,14,512,1,8,8,1,3,3,8,1,16,16,128,3,3,128,1,1,14,14,1,2048.0,2158428160.0,0.0145,127851.0,21.584282,0.042848,2.955034,0.312972089,924844032
vgg16_tile_conv2d_12_18813316,1,1,1,16,16,512,3,3,512,512,1,14,14,512,1,8,8,1,3,3,16,1,16,16,128,3,3,128,1,1,14,14,1,2048.0,2144534528.0,0.02,161237.0,21.445345,0.043126,2.1563,0.4289069,924844032
vgg16_tile_conv2d_12_18813332,1,1,1,16,16,512,3,3,512,512,1,14,14,512,1,8,8,1,3,3,32,1,16,16,128,3,3,128,1,1,14,14,1,2048.0,2601013248.0,0.0137,121953.0,26.010132,0.035557,2.595401,0.3563388084,924844032
vgg16_tile_conv2d_12_18813364,1,1,1,16,16,512,3,3,512,512,1,14,14,512,1,8,8,1,3,3,64,1,16,16,128,3,3,128,1,1,14,14,1,2048.0,2596753408.0,0.0143,121449.0,25.967534,0.035615,2.490559,0.3713357362,924844032
vgg16_tile_conv2d_12_188133128,1,1,1,16,16,512,3,3,512,512,1,14,14,512,1,8,8,1,3,3,128,1,16,16,128,3,3,128,1,1,14,14,1,2048.0,2594615296.0,0.0137,117779.0,25.946153,0.035645,2.601825,0.3554622961,924844032
vgg16_tile_conv2d_12_114141334,1,1,1,16,16,512,3,3,512,512,1,14,14,512,1,14,14,1,3,3,4,1,16,16,128,3,3,128,1,1,14,14,1,2048.0,2183962624.0,0.0124,110617.0,21.839626,0.042347,3.415081,0.2708113624,924844032
vgg16_tile_conv2d_12_114141338,1,1,1,16,16,512,3,3,512,512,1,14,14,512,1,14,14,1,3,3,8,1,16,16,128,3,3,128,1,1,14,14,1,2048.0,2157289472.0,0.0144,128101.0,21.572895,0.042871,2.977153,0.310649688,924844032
