configuration,strides,dilations,input_batch,input_width,input_height,input_channel,kernel_width,kernel_height,kernel_input_channels,kernel_output_channels,output_batch,output_width,output_height,output_channel,permuation_order_1,permuation_order_2,permuation_order_3,permuation_order_4,permuation_order_5,permuation_order_6,permuation_order_7,actual_input_batch,actual_input_width,actual_input_height,actual_input_channel,actual_kernel_width,actual_kernel_height,actual_kernel_input_channels,actual_kernel_output_channels,actual_output_batch,actual_output_width,actual_output_height,actual_output_channel,number_of_tiles,simulation_cycles,total_power,area,runtime_in_s,gflops,gflops_per_watt,energy_consumed,flop_count
vgg16_permute_conv2d_8_0123645,1,1,1,30,30,256,3,3,256,512,1,28,28,512,0,1,2,3,5,6,4,1,30,30,32,3,3,32,1,1,28,28,1,4096.0,4205645824.0,0.0145,128179.0,42.056458,0.043981,3.033172,0.609818641,1849688064
vgg16_permute_conv2d_8_0132645,1,1,1,30,30,256,3,3,256,512,1,28,28,512,0,1,3,2,5,6,4,1,30,30,32,3,3,32,1,1,28,28,1,4096.0,4205645824.0,0.0147,128297.0,42.056458,0.043981,2.991905,0.6182299326,1849688064
vgg16_permute_conv2d_8_0213645,1,1,1,30,30,256,3,3,256,512,1,28,28,512,0,2,1,3,5,6,4,1,30,30,32,3,3,32,1,1,28,28,1,4096.0,4205645824.0,0.0147,128177.0,42.056458,0.043981,2.991905,0.6182299326,1849688064
vgg16_permute_conv2d_8_0231645,1,1,1,30,30,256,3,3,256,512,1,28,28,512,0,3,1,2,5,6,4,1,30,30,32,3,3,32,1,1,28,28,1,4096.0,4205645824.0,0.016,127648.0,42.056458,0.043981,2.748813,0.672903328,1849688064
vgg16_permute_conv2d_8_0312645,1,1,1,30,30,256,3,3,256,512,1,28,28,512,0,2,3,1,5,6,4,1,30,30,32,3,3,32,1,1,28,28,1,4096.0,4205645824.0,0.016,128148.0,42.056458,0.043981,2.748813,0.672903328,1849688064
vgg16_permute_conv2d_8_0321645,1,1,1,30,30,256,3,3,256,512,1,28,28,512,0,3,2,1,5,6,4,1,30,30,32,3,3,32,1,1,28,28,1,4096.0,4205645824.0,0.0157,127405.0,42.056458,0.043981,2.801338,0.6602863906,1849688064
vgg16_permute_conv2d_9_0123645,1,1,1,30,30,512,3,3,512,512,1,28,28,512,0,1,2,3,5,6,4,1,30,30,32,3,3,32,1,1,28,28,1,8192.0,8411291648.0,0.0159,128038.0,84.112916,0.043981,2.766101,1.3373953644,3699376128
vgg16_permute_conv2d_9_0132645,1,1,1,30,30,512,3,3,512,512,1,28,28,512,0,1,3,2,5,6,4,1,30,30,32,3,3,32,1,1,28,28,1,8192.0,8411291648.0,0.0146,128444.0,84.112916,0.043981,3.012397,1.2280485736,3699376128
vgg16_permute_conv2d_9_0213645,1,1,1,30,30,512,3,3,512,512,1,28,28,512,0,2,1,3,5,6,4,1,30,30,32,3,3,32,1,1,28,28,1,8192.0,8411291648.0,0.0145,127381.0,84.112916,0.043981,3.033172,1.219637282,3699376128
vgg16_permute_conv2d_9_0231645,1,1,1,30,30,512,3,3,512,512,1,28,28,512,0,3,1,2,5,6,4,1,30,30,32,3,3,32,1,1,28,28,1,8192.0,8411291648.0,0.0146,128371.0,84.112916,0.043981,3.012397,1.2280485736,3699376128
