configuration,input_batch,input_width,input_height,weight_batch,weight_width,weight_height,output_batch,output_width,output_height,permuation_order_1,permuation_order_2,permuation_order_3,permuation_order_4,actual_input_batch,actual_input_width,actual_input_height,actual_weight_batch,actual_weight_width,actual_weight_height,actual_output_batch,actual_output_width,actual_output_height,number_of_tiles,simulation_cycles,total_power,area,runtime_in_s,gflops,gflops_per_watt,energy_consumed,flop_count
resnet18_permute_matmul_1_0123,1,1,512,1,512,1000,1,1,1000,0,1,2,3,1,1,128,1,128,125,1,1,125,32.0,4311040.0,0.00432,34610.0,0.04311,0.023753,5.49838,0.0001862352,1024000
resnet18_permute_matmul_1_0132,1,1,512,1,512,1000,1,1,1000,0,1,3,2,1,1,128,1,128,125,1,1,125,32.0,4819328.0,0.00409,34459.0,0.048193,0.021248,5.19511,0.00019710937,1024000
resnet18_permute_matmul_1_0213,1,1,512,1,512,1000,1,1,1000,0,2,1,3,1,1,128,1,128,125,1,1,125,32.0,4311040.0,0.00433,34623.0,0.04311,0.023753,5.485681,0.0001866663,1024000
resnet18_permute_matmul_1_0231,1,1,512,1,512,1000,1,1,1000,0,3,1,2,1,1,128,1,128,125,1,1,125,32.0,4311040.0,0.00432,34610.0,0.04311,0.023753,5.49838,0.0001862352,1024000
resnet18_permute_matmul_1_0312,1,1,512,1,512,1000,1,1,1000,0,2,3,1,1,1,128,1,128,125,1,1,125,32.0,4819328.0,0.00409,34459.0,0.048193,0.021248,5.19511,0.00019710937,1024000
resnet18_permute_matmul_1_0321,1,1,512,1,512,1000,1,1,1000,0,3,2,1,1,1,128,1,128,125,1,1,125,32.0,4819328.0,0.00407,34403.0,0.048193,0.021248,5.220639,0.00019614551,1024000
