configuration,strides,dilations,input_batch,input_width,input_height,input_channel,kernel_width,kernel_height,kernel_input_channels,kernel_output_channels,output_batch,output_width,output_height,output_channel,unroll_full,unroll_factor,actual_input_batch,actual_input_width,actual_input_height,actual_input_channel,actual_kernel_width,actual_kernel_height,actual_kernel_input_channels,actual_kernel_output_channels,actual_output_batch,actual_output_width,actual_output_height,actual_output_channel,number_of_tiles,simulation_cycles,total_power,area,runtime_in_s,gflops,gflops_per_watt,energy_consumed,flop_count
alexnet_unroll_conv2d_3_unroll_1_factor_0,1,1,1,15,15,256,3,3,256,384,1,13,13,384,1,0,1,15,15,32,3,3,32,1,1,13,13,1,3072.0,601761792.0,0.00835,65609.0,6.017618,0.049694,5.951377,0.0502471103,299040768
alexnet_unroll_conv2d_3_unroll_2_factor_0,1,1,1,15,15,256,3,3,256,384,1,13,13,384,2,0,1,15,15,32,3,3,32,1,1,13,13,1,3072.0,600204288.0,0.0234,176196.0,6.002043,0.049823,2.129188,0.1404478062,299040768
alexnet_unroll_conv2d_3_unroll_3_factor_0,1,1,1,15,15,256,3,3,256,384,1,13,13,384,3,0,1,15,15,32,3,3,32,1,1,13,13,1,3072.0,457986048.0,0.0621,506958.0,4.57986,0.065295,1.051449,0.284409306,299040768
alexnet_unroll_conv2d_4_unroll_0_factor_0,1,1,1,15,15,384,3,3,384,384,1,13,13,384,0,0,1,15,15,32,3,3,32,1,1,13,13,1,4608.0,1125365760.0,0.00498,45417.0,11.253658,0.039859,8.003815,0.05604321684,448561152
alexnet_unroll_conv2d_4_unroll_1_factor_4,1,1,1,15,15,384,3,3,384,384,1,13,13,384,1,4,1,15,15,32,3,3,32,1,1,13,13,1,4608.0,904978944.0,0.00436,39075.0,9.049789,0.049566,11.368349,0.03945708004,448561152
alexnet_unroll_conv2d_4_unroll_1_factor_8,1,1,1,15,15,384,3,3,384,384,1,13,13,384,1,8,1,15,15,32,3,3,32,1,1,13,13,1,4608.0,909651456.0,0.00325,29228.0,9.096515,0.049311,15.172615,0.02956367375,448561152
alexnet_unroll_conv2d_4_unroll_1_factor_16,1,1,1,15,15,384,3,3,384,384,1,13,13,384,1,16,1,15,15,32,3,3,32,1,1,13,13,1,4608.0,909651456.0,0.00449,39378.0,9.096515,0.049311,10.982405,0.04084335235,448561152
alexnet_unroll_conv2d_4_unroll_1_factor_0,1,1,1,15,15,384,3,3,384,384,1,13,13,384,1,0,1,15,15,32,3,3,32,1,1,13,13,1,4608.0,902642688.0,0.00754,65194.0,9.026427,0.049694,6.590716,0.06805925958,448561152
alexnet_unroll_conv2d_4_unroll_2_factor_0,1,1,1,15,15,384,3,3,384,384,1,13,13,384,2,0,1,15,15,32,3,3,32,1,1,13,13,1,4608.0,900306432.0,0.0234,176009.0,9.003064,0.049823,2.129188,0.2106716976,448561152
alexnet_unroll_conv2d_4_unroll_3_factor_0,1,1,1,15,15,384,3,3,384,384,1,13,13,384,3,0,1,15,15,32,3,3,32,1,1,13,13,1,4608.0,686979072.0,0.0628,507928.0,6.869791,0.065295,1.039729,0.4314228748,448561152
alexnet_unroll_conv2d_5_unroll_0_factor_0,1,1,1,15,15,384,3,3,384,256,1,13,13,256,0,0,1,15,15,32,3,3,32,1,1,13,13,1,3072.0,750243840.0,0.00497,45452.0,7.502438,0.039859,8.01992,0.03728711686,299040768
alexnet_unroll_conv2d_5_unroll_1_factor_4,1,1,1,15,15,384,3,3,384,256,1,13,13,256,1,4,1,15,15,32,3,3,32,1,1,13,13,1,3072.0,603319296.0,0.00436,39082.0,6.033193,0.049566,11.368349,0.02630472148,299040768
alexnet_unroll_conv2d_5_unroll_1_factor_8,1,1,1,15,15,384,3,3,384,256,1,13,13,256,1,8,1,15,15,32,3,3,32,1,1,13,13,1,3072.0,606434304.0,0.00327,29279.0,6.064343,0.049311,15.079817,0.01983040161,299040768
alexnet_unroll_conv2d_5_unroll_1_factor_16,1,1,1,15,15,384,3,3,384,256,1,13,13,256,1,16,1,15,15,32,3,3,32,1,1,13,13,1,3072.0,606434304.0,0.00491,39412.0,6.064343,0.049311,10.042974,0.02977592413,299040768
alexnet_unroll_conv2d_5_unroll_1_factor_0,1,1,1,15,15,384,3,3,384,256,1,13,13,256,1,0,1,15,15,32,3,3,32,1,1,13,13,1,3072.0,601761792.0,0.00755,65218.0,6.017618,0.049694,6.581987,0.0454330159,299040768
alexnet_unroll_conv2d_5_unroll_2_factor_0,1,1,1,15,15,384,3,3,384,256,1,13,13,256,2,0,1,15,15,32,3,3,32,1,1,13,13,1,3072.0,600204288.0,0.0232,177517.0,6.002043,0.049823,2.147543,0.1392473976,299040768
alexnet_unroll_conv2d_5_unroll_3_factor_0,1,1,1,15,15,384,3,3,384,256,1,13,13,256,3,0,1,15,15,32,3,3,32,1,1,13,13,1,3072.0,457986048.0,0.0649,509320.0,4.57986,0.065295,1.006086,0.297232914,299040768
