configuration,input_batch,input_width,input_height,weight_batch,weight_width,weight_height,output_batch,output_width,output_height,tiled_output_batch,tiled_output_width,tiled_output_height,tiled_kernel_width,actual_input_batch,actual_input_width,actual_input_height,actual_weight_batch,actual_weight_width,actual_weight_height,actual_output_batch,actual_output_width,actual_output_height,number_of_tiles,simulation_cycles,total_power,area,runtime_in_s,gflops,gflops_per_watt,energy_consumed,flop_count
alexnet_tile_matmul_1_111616,1,1,9216,1,9216,4096,1,1,4096,1,1,16,16,1,1,128,1,128,128,1,1,128,2304.0,289069056.0,0.00849,68394.0,2.890691,0.026117,3.076207,0.02454196659,75497472
alexnet_tile_matmul_1_111632,1,1,9216,1,9216,4096,1,1,4096,1,1,16,32,1,1,128,1,128,128,1,1,128,2304.0,359553024.0,0.00595,52147.0,3.59553,0.020998,3.529076,0.0213934035,75497472
alexnet_tile_matmul_1_111664,1,1,9216,1,9216,4096,1,1,4096,1,1,16,64,1,1,128,1,128,128,1,1,128,2304.0,319444992.0,0.00469,40666.0,3.19445,0.023634,5.039232,0.0149819705,75497472
alexnet_tile_matmul_1_1116128,1,1,9216,1,9216,4096,1,1,4096,1,1,16,128,1,1,128,1,128,128,1,1,128,2304.0,355977216.0,0.00797,69584.0,3.559772,0.021209,2.661104,0.02837138284,75497472
alexnet_tile_matmul_1_11324,1,1,9216,1,9216,4096,1,1,4096,1,1,32,4,1,1,128,1,128,128,1,1,128,2304.0,309399552.0,0.00547,45722.0,3.093996,0.024401,4.460878,0.01692415812,75497472
alexnet_tile_matmul_1_11328,1,1,9216,1,9216,4096,1,1,4096,1,1,32,8,1,1,128,1,128,128,1,1,128,2304.0,294948864.0,0.00655,53665.0,2.949489,0.025597,3.907939,0.01931915295,75497472
alexnet_tile_matmul_1_113216,1,1,9216,1,9216,4096,1,1,4096,1,1,32,16,1,1,128,1,128,128,1,1,128,2304.0,287723520.0,0.00835,68165.0,2.877235,0.02624,3.142515,0.02402491225,75497472
alexnet_tile_matmul_1_113232,1,1,9216,1,9216,4096,1,1,4096,1,1,32,32,1,1,128,1,128,128,1,1,128,2304.0,359534592.0,0.00585,52193.0,3.595346,0.020999,3.589573,0.0210327741,75497472
alexnet_tile_matmul_1_113264,1,1,9216,1,9216,4096,1,1,4096,1,1,32,64,1,1,128,1,128,128,1,1,128,2304.0,357156864.0,0.00813,69400.0,3.571569,0.021138,2.6,0.02903685597,75497472
alexnet_tile_matmul_1_1132128,1,1,9216,1,9216,4096,1,1,4096,1,1,32,128,1,1,128,1,128,128,1,1,128,2304.0,355977216.0,0.00563,49740.0,3.559772,0.021209,3.76714,0.02004151636,75497472
alexnet_tile_matmul_1_11644,1,1,9216,1,9216,4096,1,1,4096,1,1,64,4,1,1,128,1,128,128,1,1,128,2304.0,308496384.0,0.00676,55927.0,3.084964,0.024473,3.620266,0.02085435664,75497472
alexnet_tile_matmul_1_11648,1,1,9216,1,9216,4096,1,1,4096,1,1,64,8,1,1,128,1,128,128,1,1,128,2304.0,294193152.0,0.00879,70776.0,2.941932,0.025663,2.919568,0.02585958228,75497472
alexnet_tile_matmul_1_116416,1,1,9216,1,9216,4096,1,1,4096,1,1,64,16,1,1,128,1,128,128,1,1,128,2304.0,287041536.0,0.0124,99353.0,2.870415,0.026302,2.121129,0.035593146,75497472
alexnet_tile_matmul_1_116432,1,1,9216,1,9216,4096,1,1,4096,1,1,64,32,1,1,128,1,128,128,1,1,128,2304.0,359516160.0,0.00802,70136.0,3.595162,0.021,2.618454,0.02883319924,75497472
alexnet_tile_matmul_1_116464,1,1,9216,1,9216,4096,1,1,4096,1,1,64,64,1,1,128,1,128,128,1,1,128,2304.0,357156864.0,0.00566,49986.0,3.571569,0.021138,3.734629,0.02021508054,75497472
alexnet_tile_matmul_1_1164128,1,1,9216,1,9216,4096,1,1,4096,1,1,64,128,1,1,128,1,128,128,1,1,128,2304.0,318228480.0,0.00442,38902.0,3.182285,0.023724,5.367421,0.0140656997,75497472
alexnet_tile_matmul_1_111284,1,1,9216,1,9216,4096,1,1,4096,1,1,128,4,1,1,128,1,128,128,1,1,128,2304.0,308054016.0,0.00524,44862.0,3.08054,0.024508,4.677099,0.0161420296,75497472
alexnet_tile_matmul_1_111288,1,1,9216,1,9216,4096,1,1,4096,1,1,128,8,1,1,128,1,128,128,1,1,128,2304.0,293824512.0,0.00616,52270.0,2.938245,0.025695,4.171266,0.0180995892,75497472
alexnet_tile_matmul_1_1112816,1,1,9216,1,9216,4096,1,1,4096,1,1,128,16,1,1,128,1,128,128,1,1,128,2304.0,286709760.0,0.00805,66951.0,2.867098,0.026332,3.271056,0.0230801389,75497472
alexnet_tile_matmul_1_1112832,1,1,9216,1,9216,4096,1,1,4096,1,1,128,32,1,1,128,1,128,128,1,1,128,2304.0,359516160.0,0.0056,49552.0,3.595162,0.021,3.75,0.0201329072,75497472
alexnet_tile_matmul_1_1112864,1,1,9216,1,9216,4096,1,1,4096,1,1,128,64,1,1,128,1,128,128,1,1,128,2304.0,319408128.0,0.00449,38809.0,3.194081,0.023637,5.264365,0.01434142369,75497472
alexnet_tile_matmul_2_0000,1,1,4096,1,4096,4096,1,1,4096,0,0,0,0,1,1,128,1,128,128,1,1,128,1024.0,141300736.0,0.00439,34421.0,1.413007,0.023747,5.409339,0.00620310073,33554432
alexnet_tile_matmul_2_1144,1,1,4096,1,4096,4096,1,1,4096,1,1,4,4,1,1,128,1,128,128,1,1,128,1024.0,103391232.0,0.00772,68197.0,1.033912,0.032454,4.203886,0.00798180064,33554432
alexnet_tile_matmul_2_1148,1,1,4096,1,4096,4096,1,1,4096,1,1,4,8,1,1,128,1,128,128,1,1,128,1024.0,103391232.0,0.00997,87162.0,1.033912,0.032454,3.255165,0.01030810264,33554432
