configuration,strides,dilation,input_batch,input_width,input_height,input_channel,kernel_width,kernel_height,kernel_input_channel,kernel_multiplier,output_batch,output_width,output_height,output_channel,output_multiplier,tiled_output_batch,tiled_output_width,tiled_output_height,tiled_input_channel,tiled_kernel_width,tiled_kernel_height,actual_input_batch,actual_input_width,actual_input_height,actual_input_channel,actual_kernel_width,actual_kernel_height,actual_kernel_input_channels,actual_output_batch,actual_output_width,actual_output_height,actual_output_channel,number_of_tiles,simulation_cycles,total_power,area,runtime_in_s,gflops,gflops_per_watt,energy_consumed,flop_count
mobilenetv3_small_tile_depthwise_conv2d_multiplier_4_188433,2,1,1,31,31,96,5,5,96,1,1,14,14,96,1,1,8,8,4,3,3,1,31,31,32,5,5,32,1,14,14,32,3.0,3456372.0,0.00931,83438.0,0.034564,0.027219,2.923631,0.00032179084,940800
mobilenetv3_small_tile_depthwise_conv2d_multiplier_4_188833,2,1,1,31,31,96,5,5,96,1,1,14,14,96,1,1,8,8,8,3,3,1,31,31,32,5,5,32,1,14,14,32,3.0,2832228.0,0.00937,81118.0,0.028322,0.033218,3.545144,0.00026537714,940800
mobilenetv3_small_tile_depthwise_conv2d_multiplier_4_1881633,2,1,1,31,31,96,5,5,96,1,1,14,14,96,1,1,8,8,16,3,3,1,31,31,32,5,5,32,1,14,14,32,3.0,2821404.0,0.00857,79108.0,0.028214,0.033345,3.890898,0.00024179398,940800
mobilenetv3_small_tile_depthwise_conv2d_multiplier_4_1883233,2,1,1,31,31,96,5,5,96,1,1,14,14,96,1,1,8,8,32,3,3,1,31,31,32,5,5,32,1,14,14,32,3.0,2815980.0,0.00915,79544.0,0.02816,0.033409,3.651257,0.000257664,940800
mobilenetv3_small_tile_depthwise_conv2d_multiplier_4_188455,2,1,1,31,31,96,5,5,96,1,1,14,14,96,1,1,8,8,4,5,5,1,31,31,32,5,5,32,1,14,14,32,3.0,2482740.0,0.0128,109182.0,0.024827,0.037894,2.960469,0.0003177856,940800
mobilenetv3_small_tile_depthwise_conv2d_multiplier_4_188855,2,1,1,31,31,96,5,5,96,1,1,14,14,96,1,1,8,8,8,5,5,1,31,31,32,5,5,32,1,14,14,32,3.0,2477316.0,0.0131,109361.0,0.024773,0.037977,2.899008,0.0003245263,940800
mobilenetv3_small_tile_depthwise_conv2d_multiplier_4_1881655,2,1,1,31,31,96,5,5,96,1,1,14,14,96,1,1,8,8,16,5,5,1,31,31,32,5,5,32,1,14,14,32,3.0,2474604.0,0.013,108157.0,0.024746,0.038018,2.924462,0.000321698,940800
mobilenetv3_small_tile_depthwise_conv2d_multiplier_4_1883255,2,1,1,31,31,96,5,5,96,1,1,14,14,96,1,1,8,8,32,5,5,1,31,31,32,5,5,32,1,14,14,32,3.0,2473236.0,0.0129,108288.0,0.024732,0.03804,2.948837,0.0003190428,940800
mobilenetv3_small_tile_depthwise_conv2d_multiplier_4_11414433,2,1,1,31,31,96,5,5,96,1,1,14,14,96,1,1,14,14,4,3,3,1,31,31,32,5,5,32,1,14,14,32,3.0,3451818.0,0.00938,83252.0,0.034518,0.027255,2.90565,0.00032377884,940800
mobilenetv3_small_tile_depthwise_conv2d_multiplier_4_11414833,2,1,1,31,31,96,5,5,96,1,1,14,14,96,1,1,14,14,8,3,3,1,31,31,32,5,5,32,1,14,14,32,3.0,2820678.0,0.00895,81187.0,0.028207,0.033353,3.726592,0.00025245265,940800
mobilenetv3_small_tile_depthwise_conv2d_multiplier_4_114141633,2,1,1,31,31,96,5,5,96,1,1,14,14,96,1,1,14,14,16,3,3,1,31,31,32,5,5,32,1,14,14,32,3.0,2815620.0,0.00866,79345.0,0.028156,0.033414,3.85843,0.00024383096,940800
mobilenetv3_small_tile_depthwise_conv2d_multiplier_4_114143233,2,1,1,31,31,96,5,5,96,1,1,14,14,96,1,1,14,14,32,3,3,1,31,31,32,5,5,32,1,14,14,32,3.0,2813088.0,0.00852,78864.0,0.028131,0.033444,3.925352,0.00023967612,940800
