configuration,strides,dilation,input_batch,input_width,input_height,input_channel,kernel_width,kernel_height,kernel_input_channel,kernel_multiplier,output_batch,output_width,output_height,output_channel,output_multiplier,tiled_output_batch,tiled_output_width,tiled_output_height,tiled_input_channel,tiled_kernel_width,tiled_kernel_height,actual_input_batch,actual_input_width,actual_input_height,actual_input_channel,actual_kernel_width,actual_kernel_height,actual_kernel_input_channels,actual_output_batch,actual_output_width,actual_output_height,actual_output_channel,number_of_tiles,simulation_cycles,total_power,area,runtime_in_s,gflops,gflops_per_watt,energy_consumed,flop_count
mobilenetv3_small_tile_depthwise_conv2d_multiplier_7_11414433,1,1,1,18,18,120,5,5,120,1,1,14,14,120,1,1,14,14,4,3,3,1,18,18,30,5,5,30,1,14,14,30,4.0,3282372.0,0.00941,88029.0,0.032824,0.035827,3.807333,0.00030887384,1176000
mobilenetv3_small_tile_depthwise_conv2d_multiplier_7_11414833,1,1,1,18,18,120,5,5,120,1,1,14,14,120,1,1,14,14,8,3,3,1,18,18,30,5,5,30,1,14,14,30,4.0,3243796.0,0.00941,88121.0,0.032438,0.036254,3.85271,0.00030524158,1176000
mobilenetv3_small_tile_depthwise_conv2d_multiplier_7_114141633,1,1,1,18,18,120,5,5,120,1,1,14,14,120,1,1,14,14,16,3,3,1,18,18,30,5,5,30,1,14,14,30,4.0,3211964.0,0.00899,85302.0,0.03212,0.036613,4.072636,0.0002887588,1176000
mobilenetv3_small_tile_depthwise_conv2d_multiplier_7_114143033,1,1,1,18,18,120,5,5,120,1,1,14,14,120,1,1,14,14,30,3,3,1,18,18,30,5,5,30,1,14,14,30,4.0,3208588.0,0.00946,84927.0,0.032086,0.036651,3.874313,0.00030353356,1176000
mobilenetv3_small_tile_depthwise_conv2d_multiplier_7_11414455,1,1,1,18,18,120,5,5,120,1,1,14,14,120,1,1,14,14,4,5,5,1,18,18,30,5,5,30,1,14,14,30,4.0,2801156.0,0.0143,121951.0,0.028012,0.041982,2.935804,0.0004005716,1176000
mobilenetv3_small_tile_depthwise_conv2d_multiplier_7_11414855,1,1,1,18,18,120,5,5,120,1,1,14,14,120,1,1,14,14,8,5,5,1,18,18,30,5,5,30,1,14,14,30,4.0,2791508.0,0.0142,122050.0,0.027915,0.042128,2.966761,0.000396393,1176000
mobilenetv3_small_tile_depthwise_conv2d_multiplier_7_114141655,1,1,1,18,18,120,5,5,120,1,1,14,14,120,1,1,14,14,16,5,5,1,18,18,30,5,5,30,1,14,14,30,4.0,2783548.0,0.0145,120602.0,0.027835,0.042249,2.913724,0.0004036075,1176000
mobilenetv3_small_tile_depthwise_conv2d_multiplier_8_000000,1,1,1,18,18,144,5,5,144,1,1,14,14,144,1,0,0,0,0,0,0,1,18,18,24,5,5,24,1,14,14,24,6.0,3127290.0,0.0231,195201.0,0.031273,0.045125,1.953463,0.0007224063,1411200
mobilenetv3_small_tile_depthwise_conv2d_multiplier_8_144433,1,1,1,18,18,144,5,5,144,1,1,14,14,144,1,1,4,4,4,3,3,1,18,18,24,5,5,24,1,14,14,24,6.0,6027462.0,0.0205,176070.0,0.060275,0.023413,1.142098,0.0012356375,1411200
mobilenetv3_small_tile_depthwise_conv2d_multiplier_8_144833,1,1,1,18,18,144,5,5,144,1,1,14,14,144,1,1,4,4,8,3,3,1,18,18,24,5,5,24,1,14,14,24,6.0,3671910.0,0.0193,171105.0,0.036719,0.038432,1.991295,0.0007086767,1411200
mobilenetv3_small_tile_depthwise_conv2d_multiplier_8_1441633,1,1,1,18,18,144,5,5,144,1,1,14,14,144,1,1,4,4,16,3,3,1,18,18,24,5,5,24,1,14,14,24,6.0,3659334.0,0.019,167699.0,0.036593,0.038565,2.029737,0.000695267,1411200
mobilenetv3_small_tile_depthwise_conv2d_multiplier_8_1442433,1,1,1,18,18,144,5,5,144,1,1,14,14,144,1,1,4,4,24,3,3,1,18,18,24,5,5,24,1,14,14,24,6.0,3646662.0,0.0191,168036.0,0.036467,0.038698,2.026073,0.0006965197,1411200
mobilenetv3_small_tile_depthwise_conv2d_multiplier_8_188433,1,1,1,18,18,144,5,5,144,1,1,14,14,144,1,1,8,8,4,3,3,1,18,18,24,5,5,24,1,14,14,24,6.0,6013986.0,0.0205,171679.0,0.06014,0.023465,1.144634,0.00123287,1411200
mobilenetv3_small_tile_depthwise_conv2d_multiplier_8_188833,1,1,1,18,18,144,5,5,144,1,1,14,14,144,1,1,8,8,8,3,3,1,18,18,24,5,5,24,1,14,14,24,6.0,3666570.0,0.0187,164643.0,0.036666,0.038488,2.058182,0.0006856542,1411200
mobilenetv3_small_tile_depthwise_conv2d_multiplier_8_1881633,1,1,1,18,18,144,5,5,144,1,1,14,14,144,1,1,8,8,16,3,3,1,18,18,24,5,5,24,1,14,14,24,6.0,3655746.0,0.0188,164196.0,0.036557,0.038603,2.053351,0.0006872716,1411200
mobilenetv3_small_tile_depthwise_conv2d_multiplier_8_1882433,1,1,1,18,18,144,5,5,144,1,1,14,14,144,1,1,8,8,24,3,3,1,18,18,24,5,5,24,1,14,14,24,6.0,3644898.0,0.0187,162487.0,0.036449,0.038717,2.070428,0.0006815963,1411200
mobilenetv3_small_tile_depthwise_conv2d_multiplier_8_188455,1,1,1,18,18,144,5,5,144,1,1,14,14,144,1,1,8,8,4,5,5,1,18,18,24,5,5,24,1,14,14,24,6.0,3142338.0,0.0239,197837.0,0.031423,0.04491,1.879079,0.0007510097,1411200
mobilenetv3_small_tile_depthwise_conv2d_multiplier_8_188855,1,1,1,18,18,144,5,5,144,1,1,14,14,144,1,1,8,8,8,5,5,1,18,18,24,5,5,24,1,14,14,24,6.0,3134202.0,0.0239,199708.0,0.031342,0.045026,1.883933,0.0007490738,1411200
mobilenetv3_small_tile_depthwise_conv2d_multiplier_8_1881655,1,1,1,18,18,144,5,5,144,1,1,14,14,144,1,1,8,8,16,5,5,1,18,18,24,5,5,24,1,14,14,24,6.0,3131490.0,0.0239,197304.0,0.031315,0.045065,1.885565,0.0007484285,1411200
mobilenetv3_small_tile_depthwise_conv2d_multiplier_8_1882455,1,1,1,18,18,144,5,5,144,1,1,14,14,144,1,1,8,8,24,5,5,1,18,18,24,5,5,24,1,14,14,24,6.0,3128754.0,0.0237,195418.0,0.031288,0.045104,1.903122,0.0007415256,1411200
mobilenetv3_small_tile_depthwise_conv2d_multiplier_8_11414433,1,1,1,18,18,144,5,5,144,1,1,14,14,144,1,1,14,14,4,3,3,1,18,18,24,5,5,24,1,14,14,24,6.0,6007146.0,0.0199,171426.0,0.060071,0.023492,1.180503,0.0011954129,1411200
mobilenetv3_small_tile_depthwise_conv2d_multiplier_8_11414833,1,1,1,18,18,144,5,5,144,1,1,14,14,144,1,1,14,14,8,3,3,1,18,18,24,5,5,24,1,14,14,24,6.0,3649236.0,0.019,165450.0,0.036492,0.038671,2.035316,0.000693348,1411200
mobilenetv3_small_tile_depthwise_conv2d_multiplier_8_114141633,1,1,1,18,18,144,5,5,144,1,1,14,14,144,1,1,14,14,16,3,3,1,18,18,24,5,5,24,1,14,14,24,6.0,3644178.0,0.0199,163149.0,0.036442,0.038725,1.94598,0.0007251958,1411200
mobilenetv3_small_tile_depthwise_conv2d_multiplier_8_114142433,1,1,1,18,18,144,5,5,144,1,1,14,14,144,1,1,14,14,24,3,3,1,18,18,24,5,5,24,1,14,14,24,6.0,3639114.0,0.0189,164385.0,0.036391,0.038779,2.051799,0.0006877899,1411200
mobilenetv3_small_tile_depthwise_conv2d_multiplier_8_11414455,1,1,1,18,18,144,5,5,144,1,1,14,14,144,1,1,14,14,4,5,5,1,18,18,24,5,5,24,1,14,14,24,6.0,3133626.0,0.0244,198891.0,0.031336,0.045034,1.845656,0.0007645984,1411200
mobilenetv3_small_tile_depthwise_conv2d_multiplier_8_11414855,1,1,1,18,18,144,5,5,144,1,1,14,14,144,1,1,14,14,8,5,5,1,18,18,24,5,5,24,1,14,14,24,6.0,3129828.0,0.0242,197249.0,0.031298,0.045089,1.863182,0.0007574116,1411200
mobilenetv3_small_tile_depthwise_conv2d_multiplier_8_114141655,1,1,1,18,18,144,5,5,144,1,1,14,14,144,1,1,14,14,16,5,5,1,18,18,24,5,5,24,1,14,14,24,6.0,3128562.0,0.024,196203.0,0.031286,0.045106,1.879417,0.000750864,1411200
mobilenetv3_small_tile_depthwise_conv2d_multiplier_9_000000,2,1,1,17,17,288,5,5,288,1,1,7,7,288,1,0,0,0,0,0,0,1,17,17,32,5,5,32,1,7,7,32,9.0,1935738.0,0.0154,135253.0,0.019357,0.036452,2.367013,0.0002980978,705600
mobilenetv3_small_tile_depthwise_conv2d_multiplier_9_144433,2,1,1,17,17,288,5,5,288,1,1,7,7,288,1,1,4,4,4,3,3,1,17,17,32,5,5,32,1,7,7,32,9.0,2676438.0,0.0125,110912.0,0.026764,0.026364,2.10912,0.00033455,705600
mobilenetv3_small_tile_depthwise_conv2d_multiplier_9_144833,2,1,1,17,17,288,5,5,288,1,1,7,7,288,1,1,4,4,8,3,3,1,17,17,32,5,5,32,1,7,7,32,9.0,2205126.0,0.0118,108125.0,0.022051,0.031999,2.71178,0.0002602018,705600
mobilenetv3_small_tile_depthwise_conv2d_multiplier_9_1441633,2,1,1,17,17,288,5,5,288,1,1,7,7,288,1,1,4,4,16,3,3,1,17,17,32,5,5,32,1,7,7,32,9.0,2195838.0,0.0115,105796.0,0.021958,0.032134,2.794261,0.000252517,705600
mobilenetv3_small_tile_depthwise_conv2d_multiplier_9_1443233,2,1,1,17,17,288,5,5,288,1,1,7,7,288,1,1,4,4,32,3,3,1,17,17,32,5,5,32,1,7,7,32,9.0,2191158.0,0.0114,105896.0,0.021912,0.032202,2.824737,0.0002497968,705600
mobilenetv3_small_tile_depthwise_conv2d_multiplier_9_177433,2,1,1,17,17,288,5,5,288,1,1,7,7,288,1,1,7,7,4,3,3,1,17,17,32,5,5,32,1,7,7,32,9.0,2668824.0,0.0124,110772.0,0.026688,0.026439,2.132177,0.0003309312,705600
mobilenetv3_small_tile_depthwise_conv2d_multiplier_9_177833,2,1,1,17,17,288,5,5,288,1,1,7,7,288,1,1,7,7,8,3,3,1,17,17,32,5,5,32,1,7,7,32,9.0,2194668.0,0.0123,108228.0,0.021947,0.03215,2.613821,0.0002699481,705600
mobilenetv3_small_tile_depthwise_conv2d_multiplier_9_1771633,2,1,1,17,17,288,5,5,288,1,1,7,7,288,1,1,7,7,16,3,3,1,17,17,32,5,5,32,1,7,7,32,9.0,2190582.0,0.0115,105906.0,0.021906,0.03221,2.80087,0.000251919,705600
mobilenetv3_small_tile_depthwise_conv2d_multiplier_9_1773233,2,1,1,17,17,288,5,5,288,1,1,7,7,288,1,1,7,7,32,3,3,1,17,17,32,5,5,32,1,7,7,32,9.0,2188530.0,0.0115,105366.0,0.021885,0.032241,2.803565,0.0002516775,705600
mobilenetv3_small_tile_depthwise_conv2d_multiplier_9_177455,2,1,1,17,17,288,5,5,288,1,1,7,7,288,1,1,7,7,4,5,5,1,17,17,32,5,5,32,1,7,7,32,9.0,1936584.0,0.0156,136684.0,0.019366,0.036435,2.335577,0.0003021096,705600
mobilenetv3_small_tile_depthwise_conv2d_multiplier_9_177855,2,1,1,17,17,288,5,5,288,1,1,7,7,288,1,1,7,7,8,5,5,1,17,17,32,5,5,32,1,7,7,32,9.0,1934532.0,0.0162,135838.0,0.019345,0.036475,2.251543,0.000313389,705600
mobilenetv3_small_tile_depthwise_conv2d_multiplier_9_1771655,2,1,1,17,17,288,5,5,288,1,1,7,7,288,1,1,7,7,16,5,5,1,17,17,32,5,5,32,1,7,7,32,9.0,1933506.0,0.0157,135762.0,0.019335,0.036493,2.324395,0.0003035595,705600
mobilenetv3_small_tile_depthwise_conv2d_multiplier_10_000000,1,1,1,11,11,576,5,5,576,1,1,7,7,576,1,0,0,0,0,0,0,1,11,11,96,5,5,96,1,7,7,96,6.0,3470760.0,0.0183,162213.0,0.034708,0.040659,2.221803,0.0006351564,1411200
mobilenetv3_small_tile_depthwise_conv2d_multiplier_10_144433,1,1,1,11,11,576,5,5,576,1,1,7,7,576,1,1,4,4,4,3,3,1,11,11,96,5,5,96,1,7,7,96,6.0,6369438.0,0.0155,137162.0,0.063694,0.022156,1.429419,0.000987257,1411200
mobilenetv3_small_tile_depthwise_conv2d_multiplier_10_144833,1,1,1,11,11,576,5,5,576,1,1,7,7,576,1,1,4,4,8,3,3,1,11,11,96,5,5,96,1,7,7,96,6.0,4015740.0,0.0149,134720.0,0.040157,0.035142,2.358523,0.0005983393,1411200
mobilenetv3_small_tile_depthwise_conv2d_multiplier_10_1441633,1,1,1,11,11,576,5,5,576,1,1,7,7,576,1,1,4,4,16,3,3,1,11,11,96,5,5,96,1,7,7,96,6.0,3997164.0,0.0148,133217.0,0.039972,0.035305,2.385473,0.0005915856,1411200
mobilenetv3_small_tile_depthwise_conv2d_multiplier_10_1443233,1,1,1,11,11,576,5,5,576,1,1,7,7,576,1,1,4,4,32,3,3,1,11,11,96,5,5,96,1,7,7,96,6.0,3987876.0,0.0149,134156.0,0.039879,0.035387,2.374966,0.0005941971,1411200
mobilenetv3_small_tile_depthwise_conv2d_multiplier_10_1446433,1,1,1,11,11,576,5,5,576,1,1,7,7,576,1,1,4,4,64,3,3,1,11,11,96,5,5,96,1,7,7,96,6.0,3984666.0,0.0147,133439.0,0.039847,0.035415,2.409184,0.0005857509,1411200
mobilenetv3_small_tile_depthwise_conv2d_multiplier_10_1449633,1,1,1,11,11,576,5,5,576,1,1,7,7,576,1,1,4,4,96,3,3,1,11,11,96,5,5,96,1,7,7,96,6.0,3981702.0,0.0148,131670.0,0.039817,0.035442,2.39473,0.0005892916,1411200
mobilenetv3_small_tile_depthwise_conv2d_multiplier_10_177433,1,1,1,11,11,576,5,5,576,1,1,7,7,576,1,1,7,7,4,3,3,1,11,11,96,5,5,96,1,7,7,96,6.0,6354294.0,0.0155,137802.0,0.063543,0.022209,1.432839,0.0009849165,1411200
mobilenetv3_small_tile_depthwise_conv2d_multiplier_10_177833,1,1,1,11,11,576,5,5,576,1,1,7,7,576,1,1,7,7,8,3,3,1,11,11,96,5,5,96,1,7,7,96,6.0,3994686.0,0.0155,133853.0,0.039947,0.035327,2.279161,0.0006191785,1411200
mobilenetv3_small_tile_depthwise_conv2d_multiplier_10_1771633,1,1,1,11,11,576,5,5,576,1,1,7,7,576,1,1,7,7,16,3,3,1,11,11,96,5,5,96,1,7,7,96,6.0,3986610.0,0.0149,134189.0,0.039866,0.035399,2.375772,0.0005940034,1411200
mobilenetv3_small_tile_depthwise_conv2d_multiplier_10_1773233,1,1,1,11,11,576,5,5,576,1,1,7,7,576,1,1,7,7,32,3,3,1,11,11,96,5,5,96,1,7,7,96,6.0,3982428.0,0.015,134827.0,0.039824,0.035436,2.3624,0.00059736,1411200
mobilenetv3_small_tile_depthwise_conv2d_multiplier_10_1776433,1,1,1,11,11,576,5,5,576,1,1,7,7,576,1,1,7,7,64,3,3,1,11,11,96,5,5,96,1,7,7,96,6.0,3981066.0,0.0148,132329.0,0.039811,0.035447,2.395068,0.0005892028,1411200
mobilenetv3_small_tile_depthwise_conv2d_multiplier_10_1779633,1,1,1,11,11,576,5,5,576,1,1,7,7,576,1,1,7,7,96,3,3,1,11,11,96,5,5,96,1,7,7,96,6.0,3979728.0,0.0146,131527.0,0.039797,0.03546,2.428767,0.0005810362,1411200
mobilenetv3_small_tile_depthwise_conv2d_multiplier_10_177455,1,1,1,11,11,576,5,5,576,1,1,7,7,576,1,1,7,7,4,5,5,1,11,11,96,5,5,96,1,7,7,96,6.0,3478566.0,0.0183,163348.0,0.034786,0.040568,2.216831,0.0006365838,1411200
mobilenetv3_small_tile_depthwise_conv2d_multiplier_10_177855,1,1,1,11,11,576,5,5,576,1,1,7,7,576,1,1,7,7,8,5,5,1,11,11,96,5,5,96,1,7,7,96,6.0,3474528.0,0.0191,164952.0,0.034745,0.040616,2.126492,0.0006636295,1411200
mobilenetv3_small_tile_depthwise_conv2d_multiplier_10_1771655,1,1,1,11,11,576,5,5,576,1,1,7,7,576,1,1,7,7,16,5,5,1,11,11,96,5,5,96,1,7,7,96,6.0,3472476.0,0.0191,165535.0,0.034725,0.040639,2.127696,0.0006632475,1411200
mobilenetv3_small_tile_depthwise_conv2d_multiplier_10_1773255,1,1,1,11,11,576,5,5,576,1,1,7,7,576,1,1,7,7,32,5,5,1,11,11,96,5,5,96,1,7,7,96,6.0,3471450.0,0.0189,163784.0,0.034715,0.040651,2.150847,0.0006561135,1411200
mobilenetv3_small_tile_depthwise_conv2d_multiplier_10_1776455,1,1,1,11,11,576,5,5,576,1,1,7,7,576,1,1,7,7,64,5,5,1,11,11,96,5,5,96,1,7,7,96,6.0,3471042.0,0.0185,162930.0,0.03471,0.040657,2.197676,0.000642135,1411200
mobilenetv3_small_tile_depthwise_conv2d_multiplier_11_000000,1,1,1,11,11,576,5,5,576,1,1,7,7,576,1,0,0,0,0,0,0,1,11,11,96,5,5,96,1,7,7,96,6.0,3470760.0,0.0186,162648.0,0.034708,0.040659,2.185968,0.0006455688,1411200
mobilenetv3_small_tile_depthwise_conv2d_multiplier_11_144433,1,1,1,11,11,576,5,5,576,1,1,7,7,576,1,1,4,4,4,3,3,1,11,11,96,5,5,96,1,7,7,96,6.0,6369438.0,0.0154,137052.0,0.063694,0.022156,1.438701,0.0009808876,1411200
mobilenetv3_small_tile_depthwise_conv2d_multiplier_11_144833,1,1,1,11,11,576,5,5,576,1,1,7,7,576,1,1,4,4,8,3,3,1,11,11,96,5,5,96,1,7,7,96,6.0,4015626.0,0.0148,133855.0,0.040156,0.035143,2.374527,0.0005943088,1411200
mobilenetv3_small_tile_depthwise_conv2d_multiplier_11_1441633,1,1,1,11,11,576,5,5,576,1,1,7,7,576,1,1,4,4,16,3,3,1,11,11,96,5,5,96,1,7,7,96,6.0,3997164.0,0.0149,133739.0,0.039972,0.035305,2.369463,0.0005955828,1411200
mobilenetv3_small_tile_depthwise_conv2d_multiplier_11_1443233,1,1,1,11,11,576,5,5,576,1,1,7,7,576,1,1,4,4,32,3,3,1,11,11,96,5,5,96,1,7,7,96,6.0,3987876.0,0.0149,134156.0,0.039879,0.035387,2.374966,0.0005941971,1411200
mobilenetv3_small_tile_depthwise_conv2d_multiplier_11_1446433,1,1,1,11,11,576,5,5,576,1,1,7,7,576,1,1,4,4,64,3,3,1,11,11,96,5,5,96,1,7,7,96,6.0,3984780.0,0.0146,132171.0,0.039848,0.035415,2.425685,0.0005817808,1411200
mobilenetv3_small_tile_depthwise_conv2d_multiplier_11_1449633,1,1,1,11,11,576,5,5,576,1,1,7,7,576,1,1,4,4,96,3,3,1,11,11,96,5,5,96,1,7,7,96,6.0,3981702.0,0.0146,132083.0,0.039817,0.035442,2.427534,0.0005813282,1411200
mobilenetv3_small_tile_depthwise_conv2d_multiplier_11_177433,1,1,1,11,11,576,5,5,576,1,1,7,7,576,1,1,7,7,4,3,3,1,11,11,96,5,5,96,1,7,7,96,6.0,6354294.0,0.0156,137920.0,0.063543,0.022209,1.423654,0.0009912708,1411200
mobilenetv3_small_tile_depthwise_conv2d_multiplier_11_177833,1,1,1,11,11,576,5,5,576,1,1,7,7,576,1,1,7,7,8,3,3,1,11,11,96,5,5,96,1,7,7,96,6.0,3994686.0,0.0148,134099.0,0.039947,0.035327,2.386959,0.0005912156,1411200
mobilenetv3_small_tile_depthwise_conv2d_multiplier_11_1771633,1,1,1,11,11,576,5,5,576,1,1,7,7,576,1,1,7,7,16,3,3,1,11,11,96,5,5,96,1,7,7,96,6.0,3986610.0,0.015,134001.0,0.039866,0.035399,2.359933,0.00059799,1411200
mobilenetv3_small_tile_depthwise_conv2d_multiplier_11_1773233,1,1,1,11,11,576,5,5,576,1,1,7,7,576,1,1,7,7,32,3,3,1,11,11,96,5,5,96,1,7,7,96,6.0,3982428.0,0.0149,134828.0,0.039824,0.035436,2.378255,0.0005933776,1411200
mobilenetv3_small_tile_depthwise_conv2d_multiplier_11_1776433,1,1,1,11,11,576,5,5,576,1,1,7,7,576,1,1,7,7,64,3,3,1,11,11,96,5,5,96,1,7,7,96,6.0,3981066.0,0.0148,132329.0,0.039811,0.035447,2.395068,0.0005892028,1411200
mobilenetv3_small_tile_depthwise_conv2d_multiplier_11_1779633,1,1,1,11,11,576,5,5,576,1,1,7,7,576,1,1,7,7,96,3,3,1,11,11,96,5,5,96,1,7,7,96,6.0,3979728.0,0.0145,131223.0,0.039797,0.03546,2.445517,0.0005770565,1411200
mobilenetv3_small_tile_depthwise_conv2d_multiplier_11_177455,1,1,1,11,11,576,5,5,576,1,1,7,7,576,1,1,7,7,4,5,5,1,11,11,96,5,5,96,1,7,7,96,6.0,3478632.0,0.0193,164906.0,0.034786,0.040568,2.101969,0.0006713698,1411200
mobilenetv3_small_tile_depthwise_conv2d_multiplier_11_177855,1,1,1,11,11,576,5,5,576,1,1,7,7,576,1,1,7,7,8,5,5,1,11,11,96,5,5,96,1,7,7,96,6.0,3474462.0,0.0186,164628.0,0.034745,0.040616,2.183656,0.000646257,1411200
mobilenetv3_small_tile_depthwise_conv2d_multiplier_11_1771655,1,1,1,11,11,576,5,5,576,1,1,7,7,576,1,1,7,7,16,5,5,1,11,11,96,5,5,96,1,7,7,96,6.0,3472476.0,0.0188,164644.0,0.034725,0.040639,2.161649,0.00065283,1411200
mobilenetv3_small_tile_depthwise_conv2d_multiplier_11_1773255,1,1,1,11,11,576,5,5,576,1,1,7,7,576,1,1,7,7,32,5,5,1,11,11,96,5,5,96,1,7,7,96,6.0,3471450.0,0.0185,163193.0,0.034715,0.040651,2.197351,0.0006422275,1411200
mobilenetv3_small_tile_depthwise_conv2d_multiplier_11_1776455,1,1,1,11,11,576,5,5,576,1,1,7,7,576,1,1,7,7,64,5,5,1,11,11,96,5,5,96,1,7,7,96,6.0,3471108.0,0.0182,160941.0,0.034711,0.040656,2.233846,0.0006317402,1411200
