configuration,strides,dilations,input_batch,input_width,input_height,input_channel,kernel_width,kernel_height,kernel_input_channels,kernel_output_channels,output_batch,output_width,output_height,output_channel,tiled_output_batch,tiled_output_width,tiled_output_height,tiled_output_channel,tiled_kernel_width,tiled_kernel_height,tiled_input_channel,actual_input_batch,actual_input_width,actual_input_height,actual_input_channel,actual_kernel_width,actual_kernel_height,actual_kernel_input_channels,actual_kernel_output_channels,actual_output_batch,actual_output_width,actual_output_height,actual_output_channel,number_of_tiles,simulation_cycles,total_power,area,runtime_in_s,gflops,gflops_per_watt,energy_consumed,flop_count
resnet18_tile_conv2d_17_14413316,1,1,1,9,9,512,3,3,512,512,1,7,7,512,1,4,4,1,3,3,16,1,9,9,128,3,3,128,1,1,7,7,1,2048.0,561160192.0,0.0256,216581.0,5.611602,0.041202,1.609453,0.1436570112,231211008
resnet18_tile_conv2d_17_14413332,1,1,1,9,9,512,3,3,512,512,1,7,7,512,1,4,4,1,3,3,32,1,9,9,128,3,3,128,1,1,7,7,1,2048.0,675299328.0,0.0197,161621.0,6.752993,0.034238,1.73797,0.1330339621,231211008
resnet18_tile_conv2d_17_14413364,1,1,1,9,9,512,3,3,512,512,1,7,7,512,1,4,4,1,3,3,64,1,9,9,128,3,3,128,1,1,7,7,1,2048.0,674164736.0,0.0199,161344.0,6.741647,0.034296,1.723417,0.1341587753,231211008
resnet18_tile_conv2d_17_144133128,1,1,1,9,9,512,3,3,512,512,1,7,7,512,1,4,4,1,3,3,128,1,9,9,128,3,3,128,1,1,7,7,1,2048.0,673589248.0,0.0186,157219.0,6.735892,0.034325,1.84543,0.1252875912,231211008
resnet18_tile_conv2d_17_1771334,1,1,1,9,9,512,3,3,512,512,1,7,7,512,1,7,7,1,3,3,4,1,9,9,128,3,3,128,1,1,7,7,1,2048.0,570781696.0,0.0177,152720.0,5.707817,0.040508,2.288588,0.1010283609,231211008
resnet18_tile_conv2d_17_1771338,1,1,1,9,9,512,3,3,512,512,1,7,7,512,1,7,7,1,3,3,8,1,9,9,128,3,3,128,1,1,7,7,1,2048.0,564097024.0,0.0204,174011.0,5.64097,0.040988,2.009216,0.115075788,231211008
resnet18_tile_conv2d_17_17713316,1,1,1,9,9,512,3,3,512,512,1,7,7,512,1,7,7,1,3,3,16,1,9,9,128,3,3,128,1,1,7,7,1,2048.0,560754688.0,0.0251,213760.0,5.607547,0.041232,1.642709,0.1407494297,231211008
resnet18_tile_conv2d_17_17713332,1,1,1,9,9,512,3,3,512,512,1,7,7,512,1,7,7,1,3,3,32,1,9,9,128,3,3,128,1,1,7,7,1,2048.0,675090432.0,0.0193,161344.0,6.750904,0.034249,1.77456,0.1302924472,231211008
resnet18_tile_conv2d_17_17713364,1,1,1,9,9,512,3,3,512,512,1,7,7,512,1,7,7,1,3,3,64,1,9,9,128,3,3,128,1,1,7,7,1,2048.0,674054144.0,0.0193,161422.0,6.740541,0.034302,1.777306,0.1300924413,231211008
resnet18_tile_conv2d_18_0000000,2,1,1,14,14,256,1,1,256,512,1,7,7,512,0,0,0,0,0,0,0,1,14,14,128,1,1,128,1,1,7,7,1,1024.0,123446272.0,0.0147,123034.0,1.234463,0.010405,0.707823,0.0181466061,12845056
resnet18_tile_conv2d_18_1441114,2,1,1,14,14,256,1,1,256,512,1,7,7,512,1,4,4,1,1,1,4,1,14,14,128,1,1,128,1,1,7,7,1,1024.0,116835328.0,0.0147,112415.0,1.168353,0.010994,0.747891,0.0171747891,12845056
resnet18_tile_conv2d_18_1441118,2,1,1,14,14,256,1,1,256,512,1,7,7,512,1,4,4,1,1,1,8,1,14,14,128,1,1,128,1,1,7,7,1,1024.0,113902592.0,0.0171,126794.0,1.139026,0.011277,0.659474,0.0194773446,12845056
resnet18_tile_conv2d_18_14411116,2,1,1,14,14,256,1,1,256,512,1,7,7,512,1,4,4,1,1,1,16,1,14,14,128,1,1,128,1,1,7,7,1,1024.0,112440320.0,0.0166,124648.0,1.124403,0.011424,0.688193,0.0186650898,12845056
resnet18_tile_conv2d_18_14411132,2,1,1,14,14,256,1,1,256,512,1,7,7,512,1,4,4,1,1,1,32,1,14,14,128,1,1,128,1,1,7,7,1,1024.0,124212224.0,0.014,115360.0,1.242122,0.010341,0.738643,0.017389708,12845056
resnet18_tile_conv2d_18_14411164,2,1,1,14,14,256,1,1,256,512,1,7,7,512,1,4,4,1,1,1,64,1,14,14,128,1,1,128,1,1,7,7,1,1024.0,123749376.0,0.014,115209.0,1.237494,0.01038,0.741429,0.017324916,12845056
resnet18_tile_conv2d_18_144111128,2,1,1,14,14,256,1,1,256,512,1,7,7,512,1,4,4,1,1,1,128,1,14,14,128,1,1,128,1,1,7,7,1,1024.0,123503616.0,0.0131,109720.0,1.235036,0.010401,0.793969,0.0161789716,12845056
resnet18_tile_conv2d_18_1771114,2,1,1,14,14,256,1,1,256,512,1,7,7,512,1,7,7,1,1,1,4,1,14,14,128,1,1,128,1,1,7,7,1,1024.0,115424256.0,0.0175,132743.0,1.154243,0.011129,0.635943,0.0201992525,12845056
resnet18_tile_conv2d_18_1771118,2,1,1,14,14,256,1,1,256,512,1,7,7,512,1,7,7,1,1,1,8,1,14,14,128,1,1,128,1,1,7,7,1,1024.0,113114112.0,0.0145,110869.0,1.131141,0.011356,0.783172,0.0164015445,12845056
resnet18_tile_conv2d_18_17711116,2,1,1,14,14,256,1,1,256,512,1,7,7,512,1,7,7,1,1,1,16,1,14,14,128,1,1,128,1,1,7,7,1,1024.0,111844352.0,0.0166,125117.0,1.118444,0.011485,0.691867,0.0185661704,12845056
resnet18_tile_conv2d_18_17711132,2,1,1,14,14,256,1,1,256,512,1,7,7,512,1,7,7,1,1,1,32,1,14,14,128,1,1,128,1,1,7,7,1,1024.0,123923456.0,0.015,125822.0,1.239235,0.010365,0.691,0.018588525,12845056
resnet18_tile_conv2d_18_17711164,2,1,1,14,14,256,1,1,256,512,1,7,7,512,1,7,7,1,1,1,64,1,14,14,128,1,1,128,1,1,7,7,1,1024.0,123603968.0,0.0179,151918.0,1.23604,0.010392,0.580559,0.022125116,12845056
resnet18_tile_conv2d_19_0000000,1,1,1,9,9,512,3,3,512,512,1,7,7,512,0,0,0,0,0,0,0,1,9,9,128,3,3,128,1,1,7,7,1,2048.0,673533952.0,0.0185,156454.0,6.73534,0.034328,1.855568,0.12460379,231211008
resnet18_tile_conv2d_19_1441334,1,1,1,9,9,512,3,3,512,512,1,7,7,512,1,4,4,1,3,3,4,1,9,9,128,3,3,128,1,1,7,7,1,2048.0,572366848.0,0.0196,152290.0,5.723668,0.040396,2.06102,0.1121838928,231211008
resnet18_tile_conv2d_19_1441338,1,1,1,9,9,512,3,3,512,512,1,7,7,512,1,4,4,1,3,3,8,1,9,9,128,3,3,128,1,1,7,7,1,2048.0,564895744.0,0.0218,173381.0,5.648957,0.04093,1.877523,0.1231472626,231211008
resnet18_tile_conv2d_19_14413316,1,1,1,9,9,512,3,3,512,512,1,7,7,512,1,4,4,1,3,3,16,1,9,9,128,3,3,128,1,1,7,7,1,2048.0,561160192.0,0.0255,215687.0,5.611602,0.041202,1.615765,0.143095851,231211008
resnet18_tile_conv2d_19_14413332,1,1,1,9,9,512,3,3,512,512,1,7,7,512,1,4,4,1,3,3,32,1,9,9,128,3,3,128,1,1,7,7,1,2048.0,675336192.0,0.0199,160737.0,6.753362,0.034236,1.720402,0.1343919038,231211008
resnet18_tile_conv2d_19_14413364,1,1,1,9,9,512,3,3,512,512,1,7,7,512,1,4,4,1,3,3,64,1,9,9,128,3,3,128,1,1,7,7,1,2048.0,674201600.0,0.0187,160398.0,6.742016,0.034294,1.833904,0.1260756992,231211008
resnet18_tile_conv2d_19_144133128,1,1,1,9,9,512,3,3,512,512,1,7,7,512,1,4,4,1,3,3,128,1,9,9,128,3,3,128,1,1,7,7,1,2048.0,673589248.0,0.0192,157421.0,6.735892,0.034325,1.78776,0.1293291264,231211008
resnet18_tile_conv2d_19_1771334,1,1,1,9,9,512,3,3,512,512,1,7,7,512,1,7,7,1,3,3,4,1,9,9,128,3,3,128,1,1,7,7,1,2048.0,570781696.0,0.0176,152586.0,5.707817,0.040508,2.301591,0.1004575792,231211008
