configuration,strides,dilations,input_batch,input_width,input_height,input_channel,kernel_width,kernel_height,kernel_input_channels,kernel_output_channels,output_batch,output_width,output_height,output_channel,tiled_output_batch,tiled_output_width,tiled_output_height,tiled_output_channel,tiled_kernel_width,tiled_kernel_height,tiled_input_channel,actual_input_batch,actual_input_width,actual_input_height,actual_input_channel,actual_kernel_width,actual_kernel_height,actual_kernel_input_channels,actual_kernel_output_channels,actual_output_batch,actual_output_width,actual_output_height,actual_output_channel,number_of_tiles,simulation_cycles,total_power,area,runtime_in_s,gflops,gflops_per_watt,energy_consumed,flop_count
resnet18_tile_conv2d_1_132321771,2,1,1,229,229,3,7,7,3,64,1,112,112,64,1,32,32,1,7,7,1,1,229,229,1,7,7,1,1,1,112,112,1,192.0,541538112.0,0.0127,109829.0,5.415381,0.043585,3.43189,0.0687753387,236027904
resnet18_tile_conv2d_1_164641331,2,1,1,229,229,3,7,7,3,64,1,112,112,64,1,64,64,1,3,3,1,1,229,229,1,7,7,1,1,1,112,112,1,192.0,917945088.0,0.0133,111712.0,9.179451,0.025713,1.933308,0.1220866983,236027904
resnet18_tile_conv2d_1_164641551,2,1,1,229,229,3,7,7,3,64,1,112,112,64,1,64,64,1,5,5,1,1,229,229,1,7,7,1,1,1,112,112,1,192.0,587556096.0,0.0133,115464.0,5.875561,0.040171,3.020376,0.0781449613,236027904
resnet18_tile_conv2d_1_164641771,2,1,1,229,229,3,7,7,3,64,1,112,112,64,1,64,64,1,7,7,1,1,229,229,1,7,7,1,1,1,112,112,1,192.0,541532928.0,0.0143,125829.0,5.415329,0.043585,3.047902,0.0774392047,236027904
resnet18_tile_conv2d_1_11121121331,2,1,1,229,229,3,7,7,3,64,1,112,112,64,1,112,112,1,3,3,1,1,229,229,1,7,7,1,1,1,112,112,1,192.0,917552256.0,0.0133,111942.0,9.175523,0.025724,1.934135,0.1220344559,236027904
resnet18_tile_conv2d_1_11121121551,2,1,1,229,229,3,7,7,3,64,1,112,112,64,1,112,112,1,5,5,1,1,229,229,1,7,7,1,1,1,112,112,1,192.0,587379456.0,0.0133,115537.0,5.873795,0.040183,3.021278,0.0781214735,236027904
resnet18_tile_conv2d_2_0000000,1,1,1,58,58,64,3,3,64,64,1,56,56,64,0,0,0,0,0,0,0,1,58,58,8,3,3,8,1,1,56,56,1,512.0,511346176.0,0.0132,113650.0,5.113462,0.045216,3.425455,0.0674976984,231211008
resnet18_tile_conv2d_2_1441334,1,1,1,58,58,64,3,3,64,64,1,56,56,64,1,4,4,1,3,3,4,1,58,58,8,3,3,8,1,1,56,56,1,512.0,519933440.0,0.0113,99774.0,5.199334,0.044469,3.93531,0.0587524742,231211008
resnet18_tile_conv2d_2_1441338,1,1,1,58,58,64,3,3,64,64,1,56,56,64,1,4,4,1,3,3,8,1,58,58,8,3,3,8,1,1,56,56,1,512.0,512306688.0,0.0135,116902.0,5.123067,0.045131,3.343037,0.0691614045,231211008
resnet18_tile_conv2d_2_1881334,1,1,1,58,58,64,3,3,64,64,1,56,56,64,1,8,8,1,3,3,4,1,58,58,8,3,3,8,1,1,56,56,1,512.0,518671872.0,0.0113,100219.0,5.186719,0.044578,3.944956,0.0586099247,231211008
resnet18_tile_conv2d_2_1881338,1,1,1,58,58,64,3,3,64,64,1,56,56,64,1,8,8,1,3,3,8,1,58,58,8,3,3,8,1,1,56,56,1,512.0,511747584.0,0.0136,117133.0,5.117476,0.045181,3.322132,0.0695976736,231211008
resnet18_tile_conv2d_2_116161334,1,1,1,58,58,64,3,3,64,64,1,56,56,64,1,16,16,1,3,3,4,1,58,58,8,3,3,8,1,1,56,56,1,512.0,518126080.0,0.0114,101702.0,5.181261,0.044624,3.914386,0.0590663754,231211008
resnet18_tile_conv2d_2_116161338,1,1,1,58,58,64,3,3,64,64,1,56,56,64,1,16,16,1,3,3,8,1,58,58,8,3,3,8,1,1,56,56,1,512.0,511449600.0,0.0135,118119.0,5.114496,0.045207,3.348667,0.069045696,231211008
resnet18_tile_conv2d_2_132321334,1,1,1,58,58,64,3,3,64,64,1,56,56,64,1,32,32,1,3,3,4,1,58,58,8,3,3,8,1,1,56,56,1,512.0,517955072.0,0.011,97014.0,5.179551,0.044639,4.058091,0.056975061,231211008
resnet18_tile_conv2d_2_132321338,1,1,1,58,58,64,3,3,64,64,1,56,56,64,1,32,32,1,3,3,8,1,58,58,8,3,3,8,1,1,56,56,1,512.0,511409664.0,0.013,114266.0,5.114097,0.045211,3.477769,0.066483261,231211008
resnet18_tile_conv2d_2_156561334,1,1,1,58,58,64,3,3,64,64,1,56,56,64,1,56,56,1,3,3,4,1,58,58,8,3,3,8,1,1,56,56,1,512.0,517828096.0,0.0108,97016.0,5.178281,0.04465,4.134259,0.0559254348,231211008
resnet18_tile_conv2d_3_0000000,1,1,1,58,58,64,3,3,64,64,1,56,56,64,0,0,0,0,0,0,0,1,58,58,8,3,3,8,1,1,56,56,1,512.0,511346176.0,0.0132,113806.0,5.113462,0.045216,3.425455,0.0674976984,231211008
resnet18_tile_conv2d_3_1441334,1,1,1,58,58,64,3,3,64,64,1,56,56,64,1,4,4,1,3,3,4,1,58,58,8,3,3,8,1,1,56,56,1,512.0,519933440.0,0.0112,100012.0,5.199334,0.044469,3.970446,0.0582325408,231211008
resnet18_tile_conv2d_3_1441338,1,1,1,58,58,64,3,3,64,64,1,56,56,64,1,4,4,1,3,3,8,1,58,58,8,3,3,8,1,1,56,56,1,512.0,512306688.0,0.0134,117271.0,5.123067,0.045131,3.367985,0.0686490978,231211008
resnet18_tile_conv2d_3_1881334,1,1,1,58,58,64,3,3,64,64,1,56,56,64,1,8,8,1,3,3,4,1,58,58,8,3,3,8,1,1,56,56,1,512.0,518671872.0,0.0113,99696.0,5.186719,0.044578,3.944956,0.0586099247,231211008
resnet18_tile_conv2d_3_1881338,1,1,1,58,58,64,3,3,64,64,1,56,56,64,1,8,8,1,3,3,8,1,58,58,8,3,3,8,1,1,56,56,1,512.0,511747584.0,0.0147,117247.0,5.117476,0.045181,3.073537,0.0752268972,231211008
resnet18_tile_conv2d_3_116161334,1,1,1,58,58,64,3,3,64,64,1,56,56,64,1,16,16,1,3,3,4,1,58,58,8,3,3,8,1,1,56,56,1,512.0,518126080.0,0.0115,101017.0,5.181261,0.044624,3.880348,0.0595845015,231211008
resnet18_tile_conv2d_3_116161338,1,1,1,58,58,64,3,3,64,64,1,56,56,64,1,16,16,1,3,3,8,1,58,58,8,3,3,8,1,1,56,56,1,512.0,511449600.0,0.0136,118255.0,5.114496,0.045207,3.324044,0.0695571456,231211008
resnet18_tile_conv2d_3_132321334,1,1,1,58,58,64,3,3,64,64,1,56,56,64,1,32,32,1,3,3,4,1,58,58,8,3,3,8,1,1,56,56,1,512.0,517955072.0,0.011,97467.0,5.179551,0.044639,4.058091,0.056975061,231211008
resnet18_tile_conv2d_3_132321338,1,1,1,58,58,64,3,3,64,64,1,56,56,64,1,32,32,1,3,3,8,1,58,58,8,3,3,8,1,1,56,56,1,512.0,511409664.0,0.0133,114620.0,5.114097,0.045211,3.399323,0.0680174901,231211008
resnet18_tile_conv2d_3_156561334,1,1,1,58,58,64,3,3,64,64,1,56,56,64,1,56,56,1,3,3,4,1,58,58,8,3,3,8,1,1,56,56,1,512.0,517828096.0,0.011,97330.0,5.178281,0.04465,4.059091,0.056961091,231211008
resnet18_tile_conv2d_4_0000000,1,1,1,58,58,64,3,3,64,64,1,56,56,64,0,0,0,0,0,0,0,1,58,58,8,3,3,8,1,1,56,56,1,512.0,511346176.0,0.0139,114095.0,5.113462,0.045216,3.25295,0.0710771218,231211008
resnet18_tile_conv2d_4_1441334,1,1,1,58,58,64,3,3,64,64,1,56,56,64,1,4,4,1,3,3,4,1,58,58,8,3,3,8,1,1,56,56,1,512.0,519933440.0,0.0113,100385.0,5.199334,0.044469,3.93531,0.0587524742,231211008
resnet18_tile_conv2d_4_1441338,1,1,1,58,58,64,3,3,64,64,1,56,56,64,1,4,4,1,3,3,8,1,58,58,8,3,3,8,1,1,56,56,1,512.0,512306688.0,0.0153,117921.0,5.123067,0.045131,2.949739,0.0783829251,231211008
resnet18_tile_conv2d_4_1881334,1,1,1,58,58,64,3,3,64,64,1,56,56,64,1,8,8,1,3,3,4,1,58,58,8,3,3,8,1,1,56,56,1,512.0,518671872.0,0.0114,100852.0,5.186719,0.044578,3.910351,0.0591285966,231211008
resnet18_tile_conv2d_4_1881338,1,1,1,58,58,64,3,3,64,64,1,56,56,64,1,8,8,1,3,3,8,1,58,58,8,3,3,8,1,1,56,56,1,512.0,511747584.0,0.0133,116643.0,5.117476,0.045181,3.397068,0.0680624308,231211008
resnet18_tile_conv2d_4_116161334,1,1,1,58,58,64,3,3,64,64,1,56,56,64,1,16,16,1,3,3,4,1,58,58,8,3,3,8,1,1,56,56,1,512.0,518126080.0,0.0118,101883.0,5.181261,0.044624,3.781695,0.0611388798,231211008
resnet18_tile_conv2d_4_116161338,1,1,1,58,58,64,3,3,64,64,1,56,56,64,1,16,16,1,3,3,8,1,58,58,8,3,3,8,1,1,56,56,1,512.0,511449600.0,0.0135,118096.0,5.114496,0.045207,3.348667,0.069045696,231211008
resnet18_tile_conv2d_4_132321334,1,1,1,58,58,64,3,3,64,64,1,56,56,64,1,32,32,1,3,3,4,1,58,58,8,3,3,8,1,1,56,56,1,512.0,517955072.0,0.0109,97594.0,5.179551,0.044639,4.095321,0.0564571059,231211008
resnet18_tile_conv2d_4_132321338,1,1,1,58,58,64,3,3,64,64,1,56,56,64,1,32,32,1,3,3,8,1,58,58,8,3,3,8,1,1,56,56,1,512.0,511409664.0,0.0131,114751.0,5.114097,0.045211,3.451221,0.0669946707,231211008
resnet18_tile_conv2d_4_156561334,1,1,1,58,58,64,3,3,64,64,1,56,56,64,1,56,56,1,3,3,4,1,58,58,8,3,3,8,1,1,56,56,1,512.0,517828096.0,0.011,96862.0,5.178281,0.04465,4.059091,0.056961091,231211008
resnet18_tile_conv2d_5_0000000,1,1,1,58,58,64,3,3,64,64,1,56,56,64,0,0,0,0,0,0,0,1,58,58,8,3,3,8,1,1,56,56,1,512.0,511346176.0,0.013,113394.0,5.113462,0.045216,3.478154,0.066475006,231211008
resnet18_tile_conv2d_5_1441334,1,1,1,58,58,64,3,3,64,64,1,56,56,64,1,4,4,1,3,3,4,1,58,58,8,3,3,8,1,1,56,56,1,512.0,519933440.0,0.0114,100662.0,5.199334,0.044469,3.900789,0.0592724076,231211008
resnet18_tile_conv2d_5_1441338,1,1,1,58,58,64,3,3,64,64,1,56,56,64,1,4,4,1,3,3,8,1,58,58,8,3,3,8,1,1,56,56,1,512.0,512306688.0,0.0135,118281.0,5.123067,0.045131,3.343037,0.0691614045,231211008
resnet18_tile_conv2d_5_1881334,1,1,1,58,58,64,3,3,64,64,1,56,56,64,1,8,8,1,3,3,4,1,58,58,8,3,3,8,1,1,56,56,1,512.0,518671872.0,0.0115,100152.0,5.186719,0.044578,3.876348,0.0596472685,231211008
resnet18_tile_conv2d_5_1881338,1,1,1,58,58,64,3,3,64,64,1,56,56,64,1,8,8,1,3,3,8,1,58,58,8,3,3,8,1,1,56,56,1,512.0,511747584.0,0.0135,117343.0,5.117476,0.045181,3.346741,0.069085926,231211008
resnet18_tile_conv2d_5_116161334,1,1,1,58,58,64,3,3,64,64,1,56,56,64,1,16,16,1,3,3,4,1,58,58,8,3,3,8,1,1,56,56,1,512.0,518126080.0,0.0117,101863.0,5.181261,0.044624,3.814017,0.0606207537,231211008
resnet18_tile_conv2d_5_116161338,1,1,1,58,58,64,3,3,64,64,1,56,56,64,1,16,16,1,3,3,8,1,58,58,8,3,3,8,1,1,56,56,1,512.0,511449600.0,0.0135,118461.0,5.114496,0.045207,3.348667,0.069045696,231211008
resnet18_tile_conv2d_5_132321334,1,1,1,58,58,64,3,3,64,64,1,56,56,64,1,32,32,1,3,3,4,1,58,58,8,3,3,8,1,1,56,56,1,512.0,517955072.0,0.011,97796.0,5.179551,0.044639,4.058091,0.056975061,231211008
resnet18_tile_conv2d_5_132321338,1,1,1,58,58,64,3,3,64,64,1,56,56,64,1,32,32,1,3,3,8,1,58,58,8,3,3,8,1,1,56,56,1,512.0,511409664.0,0.013,113843.0,5.114097,0.045211,3.477769,0.066483261,231211008
resnet18_tile_conv2d_5_156561334,1,1,1,58,58,64,3,3,64,64,1,56,56,64,1,56,56,1,3,3,4,1,58,58,8,3,3,8,1,1,56,56,1,512.0,517828096.0,0.0109,96831.0,5.178281,0.04465,4.09633,0.0564432629,231211008
resnet18_tile_conv2d_6_0000000,2,1,1,57,57,64,3,3,64,128,1,28,28,128,0,0,0,0,0,0,0,1,57,57,8,3,3,8,1,1,28,28,1,1024.0,294713344.0,0.0205,167985.0,2.947133,0.039226,1.913463,0.0604162265,115605504
resnet18_tile_conv2d_6_1441334,2,1,1,57,57,64,3,3,64,128,1,28,28,128,1,4,4,1,3,3,4,1,57,57,8,3,3,8,1,1,28,28,1,1024.0,298985472.0,0.0176,153728.0,2.989855,0.038666,2.196932,0.052621448,115605504
resnet18_tile_conv2d_6_1441338,2,1,1,57,57,64,3,3,64,128,1,28,28,128,1,4,4,1,3,3,8,1,57,57,8,3,3,8,1,1,28,28,1,1024.0,295172096.0,0.0195,171789.0,2.951721,0.039165,2.008462,0.0575585595,115605504
resnet18_tile_conv2d_6_1881334,2,1,1,57,57,64,3,3,64,128,1,28,28,128,1,8,8,1,3,3,4,1,57,57,8,3,3,8,1,1,28,28,1,1024.0,298353664.0,0.0177,154756.0,2.983537,0.038748,2.189153,0.0528086049,115605504
resnet18_tile_conv2d_6_1881338,2,1,1,57,57,64,3,3,64,128,1,28,28,128,1,8,8,1,3,3,8,1,57,57,8,3,3,8,1,1,28,28,1,1024.0,294863872.0,0.0199,175114.0,2.948639,0.039206,1.970151,0.0586779161,115605504
resnet18_tile_conv2d_6_116161334,2,1,1,57,57,64,3,3,64,128,1,28,28,128,1,16,16,1,3,3,4,1,57,57,8,3,3,8,1,1,28,28,1,1024.0,298125312.0,0.0187,150060.0,2.981253,0.038777,2.073636,0.0557494311,115605504
resnet18_tile_conv2d_6_116161338,2,1,1,57,57,64,3,3,64,128,1,28,28,128,1,16,16,1,3,3,8,1,57,57,8,3,3,8,1,1,28,28,1,1024.0,294782976.0,0.019,167921.0,2.94783,0.039217,2.064053,0.05600877,115605504
resnet18_tile_conv2d_6_128281334,2,1,1,57,57,64,3,3,64,128,1,28,28,128,1,28,28,1,3,3,4,1,57,57,8,3,3,8,1,1,28,28,1,1024.0,297986048.0,0.0173,150161.0,2.97986,0.038796,2.242543,0.051551578,115605504
resnet18_tile_conv2d_7_0000000,1,1,1,30,30,128,3,3,128,128,1,28,28,128,0,0,0,0,0,0,0,1,30,30,32,3,3,32,1,1,28,28,1,512.0,641759744.0,0.0204,174221.0,6.417597,0.036028,1.766078,0.1309189788,231211008
resnet18_tile_conv2d_7_1441334,1,1,1,30,30,128,3,3,128,128,1,28,28,128,1,4,4,1,3,3,4,1,30,30,32,3,3,32,1,1,28,28,1,512.0,539518464.0,0.0195,170021.0,5.395185,0.042855,2.197692,0.1052061075,231211008
resnet18_tile_conv2d_7_1441338,1,1,1,30,30,128,3,3,128,128,1,28,28,128,1,4,4,1,3,3,8,1,30,30,32,3,3,32,1,1,28,28,1,512.0,532092416.0,0.0218,188934.0,5.320924,0.043453,1.993257,0.1159961432,231211008
resnet18_tile_conv2d_7_14413316,1,1,1,30,30,128,3,3,128,128,1,28,28,128,1,4,4,1,3,3,16,1,30,30,32,3,3,32,1,1,28,28,1,512.0,533196288.0,0.0201,174024.0,5.331963,0.043363,2.157363,0.1071724563,231211008
resnet18_tile_conv2d_7_14413332,1,1,1,30,30,128,3,3,128,128,1,28,28,128,1,4,4,1,3,3,32,1,30,30,32,3,3,32,1,1,28,28,1,512.0,641974784.0,0.0213,176642.0,6.419748,0.036016,1.690892,0.1367406324,231211008
resnet18_tile_conv2d_7_1881334,1,1,1,30,30,128,3,3,128,128,1,28,28,128,1,8,8,1,3,3,4,1,30,30,32,3,3,32,1,1,28,28,1,512.0,538036736.0,0.0198,172936.0,5.380367,0.042973,2.170354,0.1065312666,231211008
